# ================================
#  NWChem spectrum parser ver 2.2
# ================================
# 
# Parser runtime options: {'infile': None, 'outfile': None, 'datafmt': 'auto', 'width': 0.3, 'nbin': 20, 'npoints': 5000, 'units': 'ev', 'delim': '    ', 'makespec': True, 'header': True, 'cchar': '#', 'verbose': False}
#
# The input appears to contain TDDFT data.
# Successfully parsed 40 TDDFT singlet excitations
# Roots were Lorentzian broadened with width 0.3 eV 
# Spectrum generated with 5000 points.
#
#  Energy [eV]         Abs. [au]   
#----------------------------------
2.4903000000e+00    4.0379675942e-08
2.4932559400e+00    4.0419467103e-08
2.4962118800e+00    4.0459317096e-08
2.4991678200e+00    4.0499226040e-08
2.5021237600e+00    4.0539194049e-08
2.5050797000e+00    4.0579221240e-08
2.5080356400e+00    4.0619307731e-08
2.5109915800e+00    4.0659453638e-08
2.5139475200e+00    4.0699659080e-08
2.5169034600e+00    4.0739924173e-08
2.5198594000e+00    4.0780249036e-08
2.5228153400e+00    4.0820633786e-08
2.5257712800e+00    4.0861078544e-08
2.5287272200e+00    4.0901583427e-08
2.5316831600e+00    4.0942148555e-08
2.5346391000e+00    4.0982774047e-08
2.5375950400e+00    4.1023460024e-08
2.5405509800e+00    4.1064206604e-08
2.5435069200e+00    4.1105013909e-08
2.5464628600e+00    4.1145882060e-08
2.5494188000e+00    4.1186811177e-08
2.5523747400e+00    4.1227801382e-08
2.5553306800e+00    4.1268852795e-08
2.5582866200e+00    4.1309965540e-08
2.5612425600e+00    4.1351139738e-08
2.5641985000e+00    4.1392375513e-08
2.5671544400e+00    4.1433672985e-08
2.5701103800e+00    4.1475032280e-08
2.5730663200e+00    4.1516453520e-08
2.5760222600e+00    4.1557936828e-08
2.5789782000e+00    4.1599482330e-08
2.5819341400e+00    4.1641090149e-08
2.5848900800e+00    4.1682760410e-08
2.5878460200e+00    4.1724493238e-08
2.5908019600e+00    4.1766288759e-08
2.5937579000e+00    4.1808147097e-08
2.5967138400e+00    4.1850068379e-08
2.5996697800e+00    4.1892052731e-08
2.6026257200e+00    4.1934100280e-08
2.6055816600e+00    4.1976211153e-08
2.6085376000e+00    4.2018385476e-08
2.6114935400e+00    4.2060623377e-08
2.6144494800e+00    4.2102924984e-08
2.6174054200e+00    4.2145290426e-08
2.6203613600e+00    4.2187719830e-08
2.6233173000e+00    4.2230213325e-08
2.6262732400e+00    4.2272771041e-08
2.6292291800e+00    4.2315393107e-08
2.6321851200e+00    4.2358079653e-08
2.6351410600e+00    4.2400830809e-08
2.6380970000e+00    4.2443646705e-08
2.6410529400e+00    4.2486527472e-08
2.6440088800e+00    4.2529473241e-08
2.6469648200e+00    4.2572484144e-08
2.6499207600e+00    4.2615560312e-08
2.6528767000e+00    4.2658701878e-08
2.6558326400e+00    4.2701908973e-08
2.6587885800e+00    4.2745181731e-08
2.6617445200e+00    4.2788520285e-08
2.6647004600e+00    4.2831924768e-08
2.6676564000e+00    4.2875395313e-08
2.6706123400e+00    4.2918932056e-08
2.6735682800e+00    4.2962535130e-08
2.6765242200e+00    4.3006204670e-08
2.6794801600e+00    4.3049940811e-08
2.6824361000e+00    4.3093743689e-08
2.6853920400e+00    4.3137613440e-08
2.6883479800e+00    4.3181550200e-08
2.6913039200e+00    4.3225554105e-08
2.6942598600e+00    4.3269625292e-08
2.6972158000e+00    4.3313763898e-08
2.7001717400e+00    4.3357970061e-08
2.7031276800e+00    4.3402243920e-08
2.7060836200e+00    4.3446585611e-08
2.7090395600e+00    4.3490995273e-08
2.7119955000e+00    4.3535473047e-08
2.7149514400e+00    4.3580019070e-08
2.7179073800e+00    4.3624633483e-08
2.7208633200e+00    4.3669316426e-08
2.7238192600e+00    4.3714068039e-08
2.7267752000e+00    4.3758888463e-08
2.7297311400e+00    4.3803777838e-08
2.7326870800e+00    4.3848736307e-08
2.7356430200e+00    4.3893764011e-08
2.7385989600e+00    4.3938861093e-08
2.7415549000e+00    4.3984027694e-08
2.7445108400e+00    4.4029263959e-08
2.7474667800e+00    4.4074570030e-08
2.7504227200e+00    4.4119946051e-08
2.7533786600e+00    4.4165392165e-08
2.7563346000e+00    4.4210908518e-08
2.7592905400e+00    4.4256495255e-08
2.7622464800e+00    4.4302152519e-08
2.7652024200e+00    4.4347880457e-08
2.7681583600e+00    4.4393679215e-08
2.7711143000e+00    4.4439548940e-08
2.7740702400e+00    4.4485489776e-08
2.7770261800e+00    4.4531501873e-08
2.7799821200e+00    4.4577585377e-08
2.7829380600e+00    4.4623740435e-08
2.7858940000e+00    4.4669967197e-08
2.7888499400e+00    4.4716265810e-08
2.7918058800e+00    4.4762636424e-08
2.7947618200e+00    4.4809079188e-08
2.7977177600e+00    4.4855594252e-08
2.8006737000e+00    4.4902181765e-08
2.8036296400e+00    4.4948841879e-08
2.8065855800e+00    4.4995574744e-08
2.8095415200e+00    4.5042380512e-08
2.8124974600e+00    4.5089259333e-08
2.8154534000e+00    4.5136211361e-08
2.8184093400e+00    4.5183236748e-08
2.8213652800e+00    4.5230335646e-08
2.8243212200e+00    4.5277508209e-08
2.8272771600e+00    4.5324754591e-08
2.8302331000e+00    4.5372074945e-08
2.8331890400e+00    4.5419469426e-08
2.8361449800e+00    4.5466938189e-08
2.8391009200e+00    4.5514481390e-08
2.8420568600e+00    4.5562099183e-08
2.8450128000e+00    4.5609791725e-08
2.8479687400e+00    4.5657559173e-08
2.8509246800e+00    4.5705401683e-08
2.8538806200e+00    4.5753319412e-08
2.8568365600e+00    4.5801312519e-08
2.8597925000e+00    4.5849381162e-08
2.8627484400e+00    4.5897525499e-08
2.8657043800e+00    4.5945745689e-08
2.8686603200e+00    4.5994041891e-08
2.8716162600e+00    4.6042414265e-08
2.8745722000e+00    4.6090862972e-08
2.8775281400e+00    4.6139388173e-08
2.8804840800e+00    4.6187990027e-08
2.8834400200e+00    4.6236668697e-08
2.8863959600e+00    4.6285424345e-08
2.8893519000e+00    4.6334257133e-08
2.8923078400e+00    4.6383167224e-08
2.8952637800e+00    4.6432154781e-08
2.8982197200e+00    4.6481219967e-08
2.9011756600e+00    4.6530362947e-08
2.9041316000e+00    4.6579583885e-08
2.9070875400e+00    4.6628882947e-08
2.9100434800e+00    4.6678260297e-08
2.9129994200e+00    4.6727716101e-08
2.9159553600e+00    4.6777250526e-08
2.9189113000e+00    4.6826863738e-08
2.9218672400e+00    4.6876555905e-08
2.9248231800e+00    4.6926327193e-08
2.9277791200e+00    4.6976177772e-08
2.9307350600e+00    4.7026107809e-08
2.9336910000e+00    4.7076117474e-08
2.9366469400e+00    4.7126206935e-08
2.9396028800e+00    4.7176376363e-08
2.9425588200e+00    4.7226625928e-08
2.9455147600e+00    4.7276955801e-08
2.9484707000e+00    4.7327366152e-08
2.9514266400e+00    4.7377857154e-08
2.9543825800e+00    4.7428428978e-08
2.9573385200e+00    4.7479081797e-08
2.9602944600e+00    4.7529815784e-08
2.9632504000e+00    4.7580631113e-08
2.9662063400e+00    4.7631527957e-08
2.9691622800e+00    4.7682506491e-08
2.9721182200e+00    4.7733566890e-08
2.9750741600e+00    4.7784709329e-08
2.9780301000e+00    4.7835933984e-08
2.9809860400e+00    4.7887241031e-08
2.9839419800e+00    4.7938630647e-08
2.9868979200e+00    4.7990103009e-08
2.9898538600e+00    4.8041658294e-08
2.9928098000e+00    4.8093296682e-08
2.9957657400e+00    4.8145018350e-08
2.9987216800e+00    4.8196823479e-08
3.0016776200e+00    4.8248712246e-08
3.0046335600e+00    4.8300684833e-08
3.0075895000e+00    4.8352741421e-08
3.0105454400e+00    4.8404882189e-08
3.0135013800e+00    4.8457107320e-08
3.0164573200e+00    4.8509416996e-08
3.0194132600e+00    4.8561811399e-08
3.0223692000e+00    4.8614290713e-08
3.0253251400e+00    4.8666855120e-08
3.0282810800e+00    4.8719504805e-08
3.0312370200e+00    4.8772239953e-08
3.0341929600e+00    4.8825060748e-08
3.0371489000e+00    4.8877967376e-08
3.0401048400e+00    4.8930960023e-08
3.0430607800e+00    4.8984038875e-08
3.0460167200e+00    4.9037204120e-08
3.0489726600e+00    4.9090455946e-08
3.0519286000e+00    4.9143794539e-08
3.0548845400e+00    4.9197220089e-08
3.0578404800e+00    4.9250732784e-08
3.0607964200e+00    4.9304332815e-08
3.0637523600e+00    4.9358020372e-08
3.0667083000e+00    4.9411795645e-08
3.0696642400e+00    4.9465658824e-08
3.0726201800e+00    4.9519610103e-08
3.0755761200e+00    4.9573649673e-08
3.0785320600e+00    4.9627777726e-08
3.0814880000e+00    4.9681994456e-08
3.0844439400e+00    4.9736300058e-08
3.0873998800e+00    4.9790694724e-08
3.0903558200e+00    4.9845178650e-08
3.0933117600e+00    4.9899752031e-08
3.0962677000e+00    4.9954415063e-08
3.0992236400e+00    5.0009167943e-08
3.1021795800e+00    5.0064010868e-08
3.1051355200e+00    5.0118944034e-08
3.1080914600e+00    5.0173967640e-08
3.1110474000e+00    5.0229081885e-08
3.1140033400e+00    5.0284286968e-08
3.1169592800e+00    5.0339583088e-08
3.1199152200e+00    5.0394970446e-08
3.1228711600e+00    5.0450449242e-08
3.1258271000e+00    5.0506019678e-08
3.1287830400e+00    5.0561681956e-08
3.1317389800e+00    5.0617436277e-08
3.1346949200e+00    5.0673282846e-08
3.1376508600e+00    5.0729221866e-08
3.1406068000e+00    5.0785253540e-08
3.1435627400e+00    5.0841378074e-08
3.1465186800e+00    5.0897595672e-08
3.1494746200e+00    5.0953906541e-08
3.1524305600e+00    5.1010310887e-08
3.1553865000e+00    5.1066808917e-08
3.1583424400e+00    5.1123400838e-08
3.1612983800e+00    5.1180086858e-08
3.1642543200e+00    5.1236867187e-08
3.1672102600e+00    5.1293742034e-08
3.1701662000e+00    5.1350711607e-08
3.1731221400e+00    5.1407776118e-08
3.1760780800e+00    5.1464935778e-08
3.1790340200e+00    5.1522190799e-08
3.1819899600e+00    5.1579541391e-08
3.1849459000e+00    5.1636987770e-08
3.1879018400e+00    5.1694530146e-08
3.1908577800e+00    5.1752168736e-08
3.1938137200e+00    5.1809903752e-08
3.1967696600e+00    5.1867735411e-08
3.1997256000e+00    5.1925663927e-08
3.2026815400e+00    5.1983689519e-08
3.2056374800e+00    5.2041812401e-08
3.2085934200e+00    5.2100032793e-08
3.2115493600e+00    5.2158350912e-08
3.2145053000e+00    5.2216766976e-08
3.2174612400e+00    5.2275281206e-08
3.2204171800e+00    5.2333893821e-08
3.2233731200e+00    5.2392605042e-08
3.2263290600e+00    5.2451415091e-08
3.2292850000e+00    5.2510324188e-08
3.2322409400e+00    5.2569332557e-08
3.2351968800e+00    5.2628440421e-08
