# ================================
#  NWChem spectrum parser ver 2.2
# ================================
# 
# Parser runtime options: {'infile': None, 'outfile': None, 'datafmt': 'auto', 'width': 0.3, 'nbin': 20, 'npoints': 5000, 'units': 'ev', 'delim': '    ', 'makespec': True, 'header': True, 'cchar': '#', 'verbose': False}
#
# The input appears to contain TDDFT data.
# Successfully parsed 40 TDDFT singlet excitations
# Roots were Lorentzian broadened with width 0.3 eV 
# Spectrum generated with 5000 points.
#
#  Energy [eV]         Abs. [au]   
#----------------------------------
2.4903000000e+00    1.1753965334e-05
2.4932559400e+00    1.1765547990e-05
2.4962118800e+00    1.1777147772e-05
2.4991678200e+00    1.1788764714e-05
2.5021237600e+00    1.1800398849e-05
2.5050797000e+00    1.1812050211e-05
2.5080356400e+00    1.1823718834e-05
2.5109915800e+00    1.1835404753e-05
2.5139475200e+00    1.1847108001e-05
2.5169034600e+00    1.1858828612e-05
2.5198594000e+00    1.1870566622e-05
2.5228153400e+00    1.1882322065e-05
2.5257712800e+00    1.1894094975e-05
2.5287272200e+00    1.1905885386e-05
2.5316831600e+00    1.1917693334e-05
2.5346391000e+00    1.1929518853e-05
2.5375950400e+00    1.1941361978e-05
2.5405509800e+00    1.1953222744e-05
2.5435069200e+00    1.1965101187e-05
2.5464628600e+00    1.1976997340e-05
2.5494188000e+00    1.1988911240e-05
2.5523747400e+00    1.2000842922e-05
2.5553306800e+00    1.2012792421e-05
2.5582866200e+00    1.2024759772e-05
2.5612425600e+00    1.2036745012e-05
2.5641985000e+00    1.2048748176e-05
2.5671544400e+00    1.2060769299e-05
2.5701103800e+00    1.2072808418e-05
2.5730663200e+00    1.2084865568e-05
2.5760222600e+00    1.2096940786e-05
2.5789782000e+00    1.2109034107e-05
2.5819341400e+00    1.2121145568e-05
2.5848900800e+00    1.2133275204e-05
2.5878460200e+00    1.2145423054e-05
2.5908019600e+00    1.2157589152e-05
2.5937579000e+00    1.2169773535e-05
2.5967138400e+00    1.2181976241e-05
2.5996697800e+00    1.2194197305e-05
2.6026257200e+00    1.2206436765e-05
2.6055816600e+00    1.2218694658e-05
2.6085376000e+00    1.2230971020e-05
2.6114935400e+00    1.2243265889e-05
2.6144494800e+00    1.2255579302e-05
2.6174054200e+00    1.2267911296e-05
2.6203613600e+00    1.2280261909e-05
2.6233173000e+00    1.2292631178e-05
2.6262732400e+00    1.2305019141e-05
2.6292291800e+00    1.2317425835e-05
2.6321851200e+00    1.2329851298e-05
2.6351410600e+00    1.2342295569e-05
2.6380970000e+00    1.2354758684e-05
2.6410529400e+00    1.2367240682e-05
2.6440088800e+00    1.2379741602e-05
2.6469648200e+00    1.2392261481e-05
2.6499207600e+00    1.2404800358e-05
2.6528767000e+00    1.2417358271e-05
2.6558326400e+00    1.2429935259e-05
2.6587885800e+00    1.2442531361e-05
2.6617445200e+00    1.2455146615e-05
2.6647004600e+00    1.2467781059e-05
2.6676564000e+00    1.2480434734e-05
2.6706123400e+00    1.2493107678e-05
2.6735682800e+00    1.2505799930e-05
2.6765242200e+00    1.2518511529e-05
2.6794801600e+00    1.2531242515e-05
2.6824361000e+00    1.2543992927e-05
2.6853920400e+00    1.2556762805e-05
2.6883479800e+00    1.2569552188e-05
2.6913039200e+00    1.2582361117e-05
2.6942598600e+00    1.2595189630e-05
2.6972158000e+00    1.2608037768e-05
2.7001717400e+00    1.2620905571e-05
2.7031276800e+00    1.2633793079e-05
2.7060836200e+00    1.2646700332e-05
2.7090395600e+00    1.2659627371e-05
2.7119955000e+00    1.2672574235e-05
2.7149514400e+00    1.2685540967e-05
2.7179073800e+00    1.2698527606e-05
2.7208633200e+00    1.2711534192e-05
2.7238192600e+00    1.2724560768e-05
2.7267752000e+00    1.2737607374e-05
2.7297311400e+00    1.2750674050e-05
2.7326870800e+00    1.2763760839e-05
2.7356430200e+00    1.2776867781e-05
2.7385989600e+00    1.2789994918e-05
2.7415549000e+00    1.2803142291e-05
2.7445108400e+00    1.2816309942e-05
2.7474667800e+00    1.2829497913e-05
2.7504227200e+00    1.2842706245e-05
2.7533786600e+00    1.2855934981e-05
2.7563346000e+00    1.2869184162e-05
2.7592905400e+00    1.2882453830e-05
2.7622464800e+00    1.2895744029e-05
2.7652024200e+00    1.2909054799e-05
2.7681583600e+00    1.2922386185e-05
2.7711143000e+00    1.2935738227e-05
2.7740702400e+00    1.2949110969e-05
2.7770261800e+00    1.2962504454e-05
2.7799821200e+00    1.2975918725e-05
2.7829380600e+00    1.2989353825e-05
2.7858940000e+00    1.3002809796e-05
2.7888499400e+00    1.3016286682e-05
2.7918058800e+00    1.3029784526e-05
2.7947618200e+00    1.3043303373e-05
2.7977177600e+00    1.3056843265e-05
2.8006737000e+00    1.3070404246e-05
2.8036296400e+00    1.3083986360e-05
2.8065855800e+00    1.3097589651e-05
2.8095415200e+00    1.3111214162e-05
2.8124974600e+00    1.3124859939e-05
2.8154534000e+00    1.3138527025e-05
2.8184093400e+00    1.3152215465e-05
2.8213652800e+00    1.3165925303e-05
2.8243212200e+00    1.3179656584e-05
2.8272771600e+00    1.3193409352e-05
2.8302331000e+00    1.3207183653e-05
2.8331890400e+00    1.3220979531e-05
2.8361449800e+00    1.3234797032e-05
2.8391009200e+00    1.3248636200e-05
2.8420568600e+00    1.3262497081e-05
2.8450128000e+00    1.3276379721e-05
2.8479687400e+00    1.3290284164e-05
2.8509246800e+00    1.3304210457e-05
2.8538806200e+00    1.3318158646e-05
2.8568365600e+00    1.3332128776e-05
2.8597925000e+00    1.3346120893e-05
2.8627484400e+00    1.3360135044e-05
2.8657043800e+00    1.3374171274e-05
2.8686603200e+00    1.3388229631e-05
2.8716162600e+00    1.3402310160e-05
2.8745722000e+00    1.3416412909e-05
2.8775281400e+00    1.3430537924e-05
2.8804840800e+00    1.3444685252e-05
2.8834400200e+00    1.3458854940e-05
2.8863959600e+00    1.3473047035e-05
2.8893519000e+00    1.3487261584e-05
2.8923078400e+00    1.3501498635e-05
2.8952637800e+00    1.3515758235e-05
2.8982197200e+00    1.3530040433e-05
2.9011756600e+00    1.3544345275e-05
2.9041316000e+00    1.3558672809e-05
2.9070875400e+00    1.3573023084e-05
2.9100434800e+00    1.3587396148e-05
