# ================================
#  NWChem spectrum parser ver 2.2
# ================================
# 
# Parser runtime options: {'infile': None, 'outfile': None, 'datafmt': 'auto', 'width': 0.3, 'nbin': 20, 'npoints': 5000, 'units': 'ev', 'delim': '    ', 'makespec': True, 'header': True, 'cchar': '#', 'verbose': False}
#
# The input appears to contain TDDFT data.
# Successfully parsed 40 TDDFT singlet excitations
# Roots were Lorentzian broadened with width 0.3 eV 
# Spectrum generated with 5000 points.
#
#  Energy [eV]         Abs. [au]   
#----------------------------------
2.3877000000e+00    2.5610919958e-08
2.3906566000e+00    3.8453795509e-08
2.3936132000e+00    3.8491715790e-08
2.3965698000e+00    3.8529692179e-08
2.3995264000e+00    3.8567724785e-08
2.4024830000e+00    3.8605813721e-08
2.4054396000e+00    3.8643959096e-08
2.4083962000e+00    3.8682161023e-08
2.4113528000e+00    3.8720419614e-08
2.4143094000e+00    3.8758734981e-08
2.4172660000e+00    3.8797107235e-08
2.4202226000e+00    3.8835536490e-08
2.4231792000e+00    3.8874022859e-08
2.4261358000e+00    3.8912566454e-08
2.4290924000e+00    3.8951167390e-08
2.4320490000e+00    3.8989825780e-08
2.4350056000e+00    3.9028541737e-08
2.4379622000e+00    3.9067315378e-08
2.4409188000e+00    3.9106146815e-08
2.4438754000e+00    3.9145036164e-08
2.4468320000e+00    3.9183983541e-08
2.4497886000e+00    3.9222989060e-08
2.4527452000e+00    3.9262052837e-08
2.4557018000e+00    3.9301174989e-08
2.4586584000e+00    3.9340355632e-08
2.4616150000e+00    3.9379594882e-08
2.4645716000e+00    3.9418892856e-08
2.4675282000e+00    3.9458249672e-08
2.4704848000e+00    3.9497665447e-08
2.4734414000e+00    3.9537140299e-08
2.4763980000e+00    3.9576674346e-08
2.4793546000e+00    3.9616267706e-08
2.4823112000e+00    3.9655920498e-08
2.4852678000e+00    3.9695632842e-08
2.4882244000e+00    3.9735404855e-08
2.4911810000e+00    3.9775236658e-08
2.4941376000e+00    3.9815128372e-08
2.4970942000e+00    3.9855080115e-08
2.5000508000e+00    3.9895092008e-08
2.5030074000e+00    3.9935164173e-08
2.5059640000e+00    3.9975296729e-08
2.5089206000e+00    4.0015489800e-08
2.5118772000e+00    4.0055743506e-08
2.5148338000e+00    4.0096057969e-08
2.5177904000e+00    4.0136433312e-08
2.5207470000e+00    4.0176869657e-08
2.5237036000e+00    4.0217367127e-08
2.5266602000e+00    4.0257925846e-08
2.5296168000e+00    4.0298545937e-08
2.5325734000e+00    4.0339227524e-08
2.5355300000e+00    4.0379970730e-08
2.5384866000e+00    4.0420775681e-08
2.5414432000e+00    4.0461642502e-08
2.5443998000e+00    4.0502571317e-08
2.5473564000e+00    4.0543562251e-08
2.5503130000e+00    4.0584615431e-08
2.5532696000e+00    4.0625730983e-08
2.5562262000e+00    4.0666909033e-08
2.5591828000e+00    4.0708149708e-08
2.5621394000e+00    4.0749453134e-08
2.5650960000e+00    4.0790819439e-08
2.5680526000e+00    4.0832248752e-08
2.5710092000e+00    4.0873741199e-08
2.5739658000e+00    4.0915296909e-08
2.5769224000e+00    4.0956916010e-08
2.5798790000e+00    4.0998598633e-08
2.5828356000e+00    4.1040344905e-08
2.5857922000e+00    4.1082154957e-08
2.5887488000e+00    4.1124028919e-08
2.5917054000e+00    4.1165966921e-08
2.5946620000e+00    4.1207969093e-08
2.5976186000e+00    4.1250035566e-08
2.6005752000e+00    4.1292166472e-08
2.6035318000e+00    4.1334361943e-08
2.6064884000e+00    4.1376622110e-08
2.6094450000e+00    4.1418947106e-08
2.6124016000e+00    4.1461337063e-08
