# ================================
#  NWChem spectrum parser ver 2.2
# ================================
# 
# Parser runtime options: {'infile': None, 'outfile': None, 'datafmt': 'auto', 'width': 0.3, 'nbin': 20, 'npoints': 5000, 'units': 'ev', 'delim': '    ', 'makespec': True, 'header': True, 'cchar': '#', 'verbose': False}
#
# The input appears to contain TDDFT data.
# Successfully parsed 40 TDDFT singlet excitations
# Roots were Lorentzian broadened with width 0.3 eV 
# Spectrum generated with 5000 points.
#
#  Energy [eV]         Abs. [au]   
#----------------------------------
2.3877000000e+00    7.8377265000e-06
2.3906566000e+00    1.1768046844e-05
2.3936132000e+00    1.1779651620e-05
2.3965698000e+00    1.1791273565e-05
2.3995264000e+00    1.1802912715e-05
2.4024830000e+00    1.1814569104e-05
2.4054396000e+00    1.1826242764e-05
2.4083962000e+00    1.1837933732e-05
2.4113528000e+00    1.1849642040e-05
2.4143094000e+00    1.1861367723e-05
2.4172660000e+00    1.1873110816e-05
2.4202226000e+00    1.1884871353e-05
2.4231792000e+00    1.1896649368e-05
2.4261358000e+00    1.1908444896e-05
2.4290924000e+00    1.1920257973e-05
2.4320490000e+00    1.1932088632e-05
2.4350056000e+00    1.1943936908e-05
2.4379622000e+00    1.1955802837e-05
2.4409188000e+00    1.1967686454e-05
2.4438754000e+00    1.1979587794e-05
2.4468320000e+00    1.1991506892e-05
2.4497886000e+00    1.2003443783e-05
2.4527452000e+00    1.2015398503e-05
2.4557018000e+00    1.2027371088e-05
2.4586584000e+00    1.2039361572e-05
2.4616150000e+00    1.2051369992e-05
2.4645716000e+00    1.2063396384e-05
2.4675282000e+00    1.2075440783e-05
2.4704848000e+00    1.2087503225e-05
2.4734414000e+00    1.2099583747e-05
2.4763980000e+00    1.2111682384e-05
2.4793546000e+00    1.2123799172e-05
2.4823112000e+00    1.2135934149e-05
2.4852678000e+00    1.2148087351e-05
2.4882244000e+00    1.2160258813e-05
2.4911810000e+00    1.2172448572e-05
2.4941376000e+00    1.2184656666e-05
2.4970942000e+00    1.2196883131e-05
2.5000508000e+00    1.2209128004e-05
2.5030074000e+00    1.2221391322e-05
2.5059640000e+00    1.2233673121e-05
2.5089206000e+00    1.2245973440e-05
2.5118772000e+00    1.2258292315e-05
2.5148338000e+00    1.2270629783e-05
2.5177904000e+00    1.2282985883e-05
2.5207470000e+00    1.2295360651e-05
2.5237036000e+00    1.2307754126e-05
2.5266602000e+00    1.2320166344e-05
2.5296168000e+00    1.2332597344e-05
2.5325734000e+00    1.2345047163e-05
2.5355300000e+00    1.2357515841e-05
2.5384866000e+00    1.2370003414e-05
2.5414432000e+00    1.2382509920e-05
2.5443998000e+00    1.2395035399e-05
2.5473564000e+00    1.2407579889e-05
