# ================================
#  NWChem spectrum parser ver 2.2
# ================================
# 
# Parser runtime options: {'infile': None, 'outfile': None, 'datafmt': 'auto', 'width': 0.3, 'nbin': 20, 'npoints': 5000, 'units': 'ev', 'delim': '    ', 'makespec': True, 'header': True, 'cchar': '#', 'verbose': False}
#
# The input appears to contain TDDFT data.
# Successfully parsed 40 TDDFT singlet excitations
# Roots were Lorentzian broadened with width 0.3 eV 
# Spectrum generated with 5000 points.
#
#  Energy [eV]         Abs. [au]   
#----------------------------------
2.4770000000e+00    3.6786867866e-08
2.4799572600e+00    3.6823134782e-08
2.4829145200e+00    3.6859455344e-08
2.4858717800e+00    3.6895829659e-08
2.4888290400e+00    3.6932257833e-08
2.4917863000e+00    3.6968739971e-08
2.4947435600e+00    3.7005276181e-08
2.4977008200e+00    3.7041866570e-08
2.5006580800e+00    3.7078511245e-08
2.5036153400e+00    3.7115210312e-08
2.5065726000e+00    3.7151963880e-08
2.5095298600e+00    3.7188772057e-08
2.5124871200e+00    3.7225634951e-08
2.5154443800e+00    3.7262552670e-08
2.5184016400e+00    3.7299525324e-08
2.5213589000e+00    3.7336553020e-08
2.5243161600e+00    3.7373635870e-08
2.5272734200e+00    3.7410773981e-08
2.5302306800e+00    3.7447967464e-08
2.5331879400e+00    3.7485216429e-08
2.5361452000e+00    3.7522520986e-08
2.5391024600e+00    3.7559881246e-08
2.5420597200e+00    3.7597297321e-08
2.5450169800e+00    3.7634769320e-08
2.5479742400e+00    3.7672297356e-08
2.5509315000e+00    3.7709881541e-08
2.5538887600e+00    3.7747521986e-08
2.5568460200e+00    3.7785218803e-08
2.5598032800e+00    3.7822972107e-08
2.5627605400e+00    3.7860782008e-08
2.5657178000e+00    3.7898648621e-08
2.5686750600e+00    3.7936572058e-08
2.5716323200e+00    3.7974552435e-08
2.5745895800e+00    3.8012589864e-08
2.5775468400e+00    3.8050684459e-08
2.5805041000e+00    3.8088836337e-08
2.5834613600e+00    3.8127045610e-08
2.5864186200e+00    3.8165312396e-08
2.5893758800e+00    3.8203636808e-08
2.5923331400e+00    3.8242018963e-08
2.5952904000e+00    3.8280458977e-08
2.5982476600e+00    3.8318956966e-08
2.6012049200e+00    3.8357513046e-08
2.6041621800e+00    3.8396127335e-08
2.6071194400e+00    3.8434799950e-08
2.6100767000e+00    3.8473531009e-08
2.6130339600e+00    3.8512320628e-08
2.6159912200e+00    3.8551168927e-08
2.6189484800e+00    3.8590076024e-08
2.6219057400e+00    3.8629042036e-08
2.6248630000e+00    3.8668067084e-08
2.6278202600e+00    3.8707151287e-08
