# ================================
#  NWChem spectrum parser ver 2.2
# ================================
# 
# Parser runtime options: {'infile': None, 'outfile': None, 'datafmt': 'auto', 'width': 0.3, 'nbin': 20, 'npoints': 5000, 'units': 'ev', 'delim': '    ', 'makespec': True, 'header': True, 'cchar': '#', 'verbose': False}
#
# The input appears to contain TDDFT data.
# Successfully parsed 40 TDDFT singlet excitations
# Roots were Lorentzian broadened with width 0.3 eV 
# Spectrum generated with 5000 points.
#
#  Energy [eV]         Abs. [au]   
#----------------------------------
2.4770000000e+00    1.1759214166e-05
2.4799572600e+00    1.1770807174e-05
2.4829145200e+00    1.1782417330e-05
2.4858717800e+00    1.1794044668e-05
2.4888290400e+00    1.1805689223e-05
2.4917863000e+00    1.1817351028e-05
2.4947435600e+00    1.1829030117e-05
2.4977008200e+00    1.1840726525e-05
2.5006580800e+00    1.1852440286e-05
2.5036153400e+00    1.1864171434e-05
2.5065726000e+00    1.1875920004e-05
2.5095298600e+00    1.1887686030e-05
2.5124871200e+00    1.1899469546e-05
2.5154443800e+00    1.1911270588e-05
2.5184016400e+00    1.1923089190e-05
2.5213589000e+00    1.1934925387e-05
2.5243161600e+00    1.1946779214e-05
2.5272734200e+00    1.1958650706e-05
2.5302306800e+00    1.1970539898e-05
2.5331879400e+00    1.1982446825e-05
2.5361452000e+00    1.1994371523e-05
2.5391024600e+00    1.2006314026e-05
2.5420597200e+00    1.2018274371e-05
2.5450169800e+00    1.2030252593e-05
2.5479742400e+00    1.2042248728e-05
2.5509315000e+00    1.2054262810e-05
2.5538887600e+00    1.2066294877e-05
2.5568460200e+00    1.2078344964e-05
2.5598032800e+00    1.2090413107e-05
2.5627605400e+00    1.2102499342e-05
2.5657178000e+00    1.2114603705e-05
2.5686750600e+00    1.2126726233e-05
2.5716323200e+00    1.2138866961e-05
2.5745895800e+00    1.2151025927e-05
2.5775468400e+00    1.2163203167e-05
2.5805041000e+00    1.2175398717e-05
2.5834613600e+00    1.2187612615e-05
2.5864186200e+00    1.2199844896e-05
2.5893758800e+00    1.2212095599e-05
2.5923331400e+00    1.2224364759e-05
2.5952904000e+00    1.2236652414e-05
2.5982476600e+00    1.2248958602e-05
2.6012049200e+00    1.2261283359e-05
2.6041621800e+00    1.2273626723e-05
2.6071194400e+00    1.2285988731e-05
2.6100767000e+00    1.2298369421e-05
2.6130339600e+00    1.2310768831e-05
2.6159912200e+00    1.2323186998e-05
2.6189484800e+00    1.2335623960e-05
2.6219057400e+00    1.2348079755e-05
2.6248630000e+00    1.2360554421e-05
2.6278202600e+00    1.2373047997e-05
2.6307775200e+00    1.2385560519e-05
2.6337347800e+00    1.2398092028e-05
2.6366920400e+00    1.2410642561e-05
2.6396493000e+00    1.2423212157e-05
2.6426065600e+00    1.2435800854e-05
2.6455638200e+00    1.2448408691e-05
2.6485210800e+00    1.2461035706e-05
2.6514783400e+00    1.2473681940e-05
2.6544356000e+00    1.2486347430e-05
2.6573928600e+00    1.2499032217e-05
2.6603501200e+00    1.2511736338e-05
2.6633073800e+00    1.2524459834e-05
2.6662646400e+00    1.2537202744e-05
2.6692219000e+00    1.2549965107e-05
2.6721791600e+00    1.2562746962e-05
2.6751364200e+00    1.2575548351e-05
2.6780936800e+00    1.2588369312e-05
2.6810509400e+00    1.2601209885e-05
2.6840082000e+00    1.2614070111e-05
2.6869654600e+00    1.2626950029e-05
2.6899227200e+00    1.2639849680e-05
2.6928799800e+00    1.2652769104e-05
2.6958372400e+00    1.2665708341e-05
2.6987945000e+00    1.2678667433e-05
2.7017517600e+00    1.2691646419e-05
2.7047090200e+00    1.2704645340e-05
2.7076662800e+00    1.2717664238e-05
2.7106235400e+00    1.2730703152e-05
2.7135808000e+00    1.2743762125e-05
2.7165380600e+00    1.2756841197e-05
2.7194953200e+00    1.2769940410e-05
2.7224525800e+00    1.2783059805e-05
2.7254098400e+00    1.2796199423e-05
2.7283671000e+00    1.2809359306e-05
