# ================================
#  NWChem spectrum parser ver 2.2
# ================================
# 
# Parser runtime options: {'infile': None, 'outfile': None, 'datafmt': 'auto', 'width': 0.3, 'nbin': 20, 'npoints': 5000, 'units': 'ev', 'delim': '    ', 'makespec': True, 'header': True, 'cchar': '#', 'verbose': False}
#
# The input appears to contain TDDFT data.
# Successfully parsed 40 TDDFT singlet excitations
# Roots were Lorentzian broadened with width 0.3 eV 
# Spectrum generated with 5000 points.
#
#  Energy [eV]         Abs. [au]   
#----------------------------------
3.2313000000e+00    2.1908667487e-08
3.2342707200e+00    3.2894534103e-08
3.2372414400e+00    3.2927127361e-08
3.2402121600e+00    3.2959769076e-08
3.2431828800e+00    3.2992459342e-08
3.2461536000e+00    3.3025198257e-08
3.2491243200e+00    3.3057985917e-08
3.2520950400e+00    3.3090822419e-08
3.2550657600e+00    3.3123707859e-08
3.2580364800e+00    3.3156642336e-08
3.2610072000e+00    3.3189625946e-08
3.2639779200e+00    3.3222658787e-08
3.2669486400e+00    3.3255740958e-08
3.2699193600e+00    3.3288872556e-08
3.2728900800e+00    3.3322053681e-08
3.2758608000e+00    3.3355284430e-08
3.2788315200e+00    3.3388564903e-08
3.2818022400e+00    3.3421895199e-08
3.2847729600e+00    3.3455275418e-08
3.2877436800e+00    3.3488705658e-08
3.2907144000e+00    3.3522186022e-08
3.2936851200e+00    3.3555716607e-08
3.2966558400e+00    3.3589297516e-08
3.2996265600e+00    3.3622928848e-08
3.3025972800e+00    3.3656610704e-08
3.3055680000e+00    3.3690343187e-08
3.3085387200e+00    3.3724126397e-08
3.3115094400e+00    3.3757960436e-08
3.3144801600e+00    3.3791845406e-08
3.3174508800e+00    3.3825781410e-08
3.3204216000e+00    3.3859768549e-08
3.3233923200e+00    3.3893806927e-08
3.3263630400e+00    3.3927896647e-08
3.3293337600e+00    3.3962037812e-08
3.3323044800e+00    3.3996230525e-08
3.3352752000e+00    3.4030474890e-08
3.3382459200e+00    3.4064771012e-08
3.3412166400e+00    3.4099118994e-08
3.3441873600e+00    3.4133518942e-08
3.3471580800e+00    3.4167970960e-08
3.3501288000e+00    3.4202475153e-08
3.3530995200e+00    3.4237031626e-08
3.3560702400e+00    3.4271640486e-08
3.3590409600e+00    3.4306301839e-08
3.3620116800e+00    3.4341015789e-08
3.3649824000e+00    3.4375782445e-08
3.3679531200e+00    3.4410601912e-08
3.3709238400e+00    3.4445474297e-08
3.3738945600e+00    3.4480399708e-08
3.3768652800e+00    3.4515378253e-08
3.3798360000e+00    3.4550410039e-08
3.3828067200e+00    3.4585495174e-08
3.3857774400e+00    3.4620633767e-08
3.3887481600e+00    3.4655825926e-08
3.3917188800e+00    3.4691071760e-08
3.3946896000e+00    3.4726371379e-08
3.3976603200e+00    3.4761724891e-08
3.4006310400e+00    3.4797132407e-08
3.4036017600e+00    3.4832594036e-08
3.4065724800e+00    3.4868109889e-08
3.4095432000e+00    3.4903680077e-08
3.4125139200e+00    3.4939304710e-08
3.4154846400e+00    3.4974983899e-08
3.4184553600e+00    3.5010717757e-08
3.4214260800e+00    3.5046506394e-08
3.4243968000e+00    3.5082349922e-08
3.4273675200e+00    3.5118248455e-08
3.4303382400e+00    3.5154202104e-08
3.4333089600e+00    3.5190210982e-08
3.4362796800e+00    3.5226275202e-08
3.4392504000e+00    3.5262394879e-08
3.4422211200e+00    3.5298570125e-08
3.4451918400e+00    3.5334801055e-08
3.4481625600e+00    3.5371087783e-08
3.4511332800e+00    3.5407430424e-08
3.4541040000e+00    3.5443829092e-08
3.4570747200e+00    3.5480283903e-08
3.4600454400e+00    3.5516794972e-08
3.4630161600e+00    3.5553362415e-08
3.4659868800e+00    3.5589986348e-08
3.4689576000e+00    3.5626666887e-08
3.4719283200e+00    3.5663404150e-08
3.4748990400e+00    3.5700198253e-08
3.4778697600e+00    3.5737049313e-08
3.4808404800e+00    3.5773957449e-08
3.4838112000e+00    3.5810922777e-08
3.4867819200e+00    3.5847945416e-08
3.4897526400e+00    3.5885025485e-08
3.4927233600e+00    3.5922163103e-08
3.4956940800e+00    3.5959358388e-08
3.4986648000e+00    3.5996611460e-08
3.5016355200e+00    3.6033922439e-08
3.5046062400e+00    3.6071291445e-08
3.5075769600e+00    3.6108718598e-08
3.5105476800e+00    3.6146204019e-08
3.5135184000e+00    3.6183747828e-08
3.5164891200e+00    3.6221350148e-08
3.5194598400e+00    3.6259011099e-08
3.5224305600e+00    3.6296730804e-08
3.5254012800e+00    3.6334509385e-08
3.5283720000e+00    3.6372346965e-08
3.5313427200e+00    3.6410243666e-08
3.5343134400e+00    3.6448199611e-08
3.5372841600e+00    3.6486214925e-08
3.5402548800e+00    3.6524289730e-08
3.5432256000e+00    3.6562424152e-08
3.5461963200e+00    3.6600618314e-08
3.5491670400e+00    3.6638872342e-08
3.5521377600e+00    3.6677186360e-08
3.5551084800e+00    3.6715560495e-08
3.5580792000e+00    3.6753994871e-08
3.5610499200e+00    3.6792489615e-08
3.5640206400e+00    3.6831044854e-08
3.5669913600e+00    3.6869660714e-08
3.5699620800e+00    3.6908337322e-08
3.5729328000e+00    3.6947074806e-08
3.5759035200e+00    3.6985873294e-08
3.5788742400e+00    3.7024732913e-08
3.5818449600e+00    3.7063653793e-08
3.5848156800e+00    3.7102636062e-08
3.5877864000e+00    3.7141679849e-08
3.5907571200e+00    3.7180785283e-08
3.5937278400e+00    3.7219952495e-08
3.5966985600e+00    3.7259181615e-08
3.5996692800e+00    3.7298472773e-08
3.6026400000e+00    3.7337826100e-08
3.6056107200e+00    3.7377241727e-08
3.6085814400e+00    3.7416719785e-08
3.6115521600e+00    3.7456260408e-08
3.6145228800e+00    3.7495863726e-08
3.6174936000e+00    3.7535529872e-08
3.6204643200e+00    3.7575258980e-08
3.6234350400e+00    3.7615051183e-08
3.6264057600e+00    3.7654906614e-08
3.6293764800e+00    3.7694825407e-08
3.6323472000e+00    3.7734807697e-08
3.6353179200e+00    3.7774853618e-08
3.6382886400e+00    3.7814963305e-08
3.6412593600e+00    3.7855136895e-08
3.6442300800e+00    3.7895374522e-08
3.6472008000e+00    3.7935676323e-08
3.6501715200e+00    3.7976042434e-08
3.6531422400e+00    3.8016472992e-08
3.6561129600e+00    3.8056968135e-08
3.6590836800e+00    3.8097527999e-08
3.6620544000e+00    3.8138152724e-08
3.6650251200e+00    3.8178842446e-08
3.6679958400e+00    3.8219597306e-08
3.6709665600e+00    3.8260417442e-08
3.6739372800e+00    3.8301302993e-08
3.6769080000e+00    3.8342254099e-08
3.6798787200e+00    3.8383270901e-08
3.6828494400e+00    3.8424353539e-08
3.6858201600e+00    3.8465502154e-08
3.6887908800e+00    3.8506716888e-08
3.6917616000e+00    3.8547997881e-08
3.6947323200e+00    3.8589345276e-08
3.6977030400e+00    3.8630759216e-08
3.7006737600e+00    3.8672239843e-08
3.7036444800e+00    3.8713787301e-08
3.7066152000e+00    3.8755401733e-08
3.7095859200e+00    3.8797083283e-08
3.7125566400e+00    3.8838832096e-08
3.7155273600e+00    3.8880648316e-08
3.7184980800e+00    3.8922532088e-08
3.7214688000e+00    3.8964483558e-08
3.7244395200e+00    3.9006502873e-08
3.7274102400e+00    3.9048590178e-08
3.7303809600e+00    3.9090745619e-08
3.7333516800e+00    3.9132969345e-08
3.7363224000e+00    3.9175261503e-08
3.7392931200e+00    3.9217622240e-08
3.7422638400e+00    3.9260051705e-08
3.7452345600e+00    3.9302550046e-08
3.7482052800e+00    3.9345117414e-08
3.7511760000e+00    3.9387753956e-08
3.7541467200e+00    3.9430459824e-08
3.7571174400e+00    3.9473235167e-08
3.7600881600e+00    3.9516080137e-08
3.7630588800e+00    3.9558994884e-08
3.7660296000e+00    3.9601979560e-08
3.7690003200e+00    3.9645034317e-08
3.7719710400e+00    3.9688159307e-08
3.7749417600e+00    3.9731354684e-08
3.7779124800e+00    3.9774620600e-08
3.7808832000e+00    3.9817957209e-08
3.7838539200e+00    3.9861364665e-08
3.7868246400e+00    3.9904843122e-08
3.7897953600e+00    3.9948392736e-08
3.7927660800e+00    3.9992013662e-08
3.7957368000e+00    4.0035706055e-08
3.7987075200e+00    4.0079470072e-08
3.8016782400e+00    4.0123305869e-08
3.8046489600e+00    4.0167213603e-08
3.8076196800e+00    4.0211193432e-08
3.8105904000e+00    4.0255245514e-08
3.8135611200e+00    4.0299370007e-08
3.8165318400e+00    4.0343567069e-08
3.8195025600e+00    4.0387836860e-08
3.8224732800e+00    4.0432179540e-08
3.8254440000e+00    4.0476595268e-08
3.8284147200e+00    4.0521084205e-08
3.8313854400e+00    4.0565646512e-08
3.8343561600e+00    4.0610282351e-08
3.8373268800e+00    4.0654991882e-08
3.8402976000e+00    4.0699775269e-08
3.8432683200e+00    4.0744632675e-08
3.8462390400e+00    4.0789564261e-08
3.8492097600e+00    4.0834570193e-08
3.8521804800e+00    4.0879650633e-08
3.8551512000e+00    4.0924805747e-08
3.8581219200e+00    4.0970035700e-08
3.8610926400e+00    4.1015340656e-08
3.8640633600e+00    4.1060720782e-08
3.8670340800e+00    4.1106176245e-08
3.8700048000e+00    4.1151707210e-08
3.8729755200e+00    4.1197313845e-08
3.8759462400e+00    4.1242996319e-08
3.8789169600e+00    4.1288754798e-08
3.8818876800e+00    4.1334589453e-08
3.8848584000e+00    4.1380500451e-08
3.8878291200e+00    4.1426487963e-08
3.8907998400e+00    4.1472552158e-08
3.8937705600e+00    4.1518693208e-08
3.8967412800e+00    4.1564911282e-08
3.8997120000e+00    4.1611206553e-08
3.9026827200e+00    4.1657579193e-08
3.9056534400e+00    4.1704029374e-08
3.9086241600e+00    4.1750557269e-08
3.9115948800e+00    4.1797163052e-08
3.9145656000e+00    4.1843846895e-08
3.9175363200e+00    4.1890608975e-08
3.9205070400e+00    4.1937449465e-08
3.9234777600e+00    4.1984368540e-08
3.9264484800e+00    4.2031366378e-08
3.9294192000e+00    4.2078443153e-08
3.9323899200e+00    4.2125599044e-08
3.9353606400e+00    4.2172834227e-08
3.9383313600e+00    4.2220148879e-08
3.9413020800e+00    4.2267543181e-08
3.9442728000e+00    4.2315017309e-08
3.9472435200e+00    4.2362571444e-08
3.9502142400e+00    4.2410205765e-08
3.9531849600e+00    4.2457920453e-08
3.9561556800e+00    4.2505715689e-08
3.9591264000e+00    4.2553591653e-08
3.9620971200e+00    4.2601548528e-08
3.9650678400e+00    4.2649586497e-08
3.9680385600e+00    4.2697705741e-08
3.9710092800e+00    4.2745906445e-08
3.9739800000e+00    4.2794188792e-08
3.9769507200e+00    4.2842552967e-08
3.9799214400e+00    4.2890999154e-08
3.9828921600e+00    4.2939527540e-08
3.9858628800e+00    4.2988138310e-08
3.9888336000e+00    4.3036831651e-08
3.9918043200e+00    4.3085607750e-08
3.9947750400e+00    4.3134466794e-08
3.9977457600e+00    4.3183408971e-08
4.0007164800e+00    4.3232434471e-08
4.0036872000e+00    4.3281543482e-08
4.0066579200e+00    4.3330736194e-08
4.0096286400e+00    4.3380012798e-08
4.0125993600e+00    4.3429373484e-08
4.0155700800e+00    4.3478818443e-08
4.0185408000e+00    4.3528347868e-08
4.0215115200e+00    4.3577961951e-08
4.0244822400e+00    4.3627660885e-08
4.0274529600e+00    4.3677444863e-08
4.0304236800e+00    4.3727314079e-08
4.0333944000e+00    4.3777268729e-08
4.0363651200e+00    4.3827309007e-08
4.0393358400e+00    4.3877435109e-08
4.0423065600e+00    4.3927647232e-08
4.0452772800e+00    4.3977945572e-08
4.0482480000e+00    4.4028330327e-08
4.0512187200e+00    4.4078801694e-08
4.0541894400e+00    4.4129359873e-08
4.0571601600e+00    4.4180005062e-08
4.0601308800e+00    4.4230737462e-08
4.0631016000e+00    4.4281557272e-08
4.0660723200e+00    4.4332464694e-08
4.0690430400e+00    4.4383459928e-08
4.0720137600e+00    4.4434543177e-08
4.0749844800e+00    4.4485714644e-08
4.0779552000e+00    4.4536974531e-08
4.0809259200e+00    4.4588323043e-08
4.0838966400e+00    4.4639760383e-08
4.0868673600e+00    4.4691286758e-08
4.0898380800e+00    4.4742902371e-08
4.0928088000e+00    4.4794607430e-08
4.0957795200e+00    4.4846402141e-08
4.0987502400e+00    4.4898286711e-08
4.1017209600e+00    4.4950261349e-08
4.1046916800e+00    4.5002326263e-08
4.1076624000e+00    4.5054481662e-08
4.1106331200e+00    4.5106727755e-08
4.1136038400e+00    4.5159064754e-08
4.1165745600e+00    4.5211492869e-08
4.1195452800e+00    4.5264012311e-08
4.1225160000e+00    4.5316623293e-08
4.1254867200e+00    4.5369326028e-08
