# ================================
#  NWChem spectrum parser ver 2.2
# ================================
# 
# Parser runtime options: {'infile': None, 'outfile': None, 'datafmt': 'auto', 'width': 0.3, 'nbin': 20, 'npoints': 5000, 'units': 'ev', 'delim': '    ', 'makespec': True, 'header': True, 'cchar': '#', 'verbose': False}
#
# The input appears to contain TDDFT data.
# Successfully parsed 40 TDDFT singlet excitations
# Roots were Lorentzian broadened with width 0.3 eV 
# Spectrum generated with 5000 points.
#
#  Energy [eV]         Abs. [au]   
#----------------------------------
3.2313000000e+00    7.8751575689e-06
3.2342707200e+00    1.1824303809e-05
3.2372414400e+00    1.1836019816e-05
3.2402121600e+00    1.1847753241e-05
3.2431828800e+00    1.1859504119e-05
3.2461536000e+00    1.1871272484e-05
3.2491243200e+00    1.1883058370e-05
3.2520950400e+00    1.1894861814e-05
3.2550657600e+00    1.1906682849e-05
3.2580364800e+00    1.1918521510e-05
3.2610072000e+00    1.1930377833e-05
3.2639779200e+00    1.1942251853e-05
3.2669486400e+00    1.1954143605e-05
3.2699193600e+00    1.1966053124e-05
3.2728900800e+00    1.1977980446e-05
3.2758608000e+00    1.1989925606e-05
3.2788315200e+00    1.2001888640e-05
3.2818022400e+00    1.2013869583e-05
3.2847729600e+00    1.2025868472e-05
3.2877436800e+00    1.2037885341e-05
3.2907144000e+00    1.2049920228e-05
3.2936851200e+00    1.2061973167e-05
3.2966558400e+00    1.2074044196e-05
3.2996265600e+00    1.2086133350e-05
3.3025972800e+00    1.2098240666e-05
3.3055680000e+00    1.2110366179e-05
3.3085387200e+00    1.2122509927e-05
3.3115094400e+00    1.2134671947e-05
3.3144801600e+00    1.2146852274e-05
3.3174508800e+00    1.2159050945e-05
3.3204216000e+00    1.2171267998e-05
3.3233923200e+00    1.2183503469e-05
3.3263630400e+00    1.2195757396e-05
3.3293337600e+00    1.2208029815e-05
3.3323044800e+00    1.2220320763e-05
3.3352752000e+00    1.2232630279e-05
3.3382459200e+00    1.2244958399e-05
3.3412166400e+00    1.2257305161e-05
3.3441873600e+00    1.2269670602e-05
3.3471580800e+00    1.2282054761e-05
3.3501288000e+00    1.2294457674e-05
3.3530995200e+00    1.2306879380e-05
3.3560702400e+00    1.2319319918e-05
3.3590409600e+00    1.2331779324e-05
3.3620116800e+00    1.2344257637e-05
3.3649824000e+00    1.2356754895e-05
