# ================================
#  NWChem spectrum parser ver 2.2
# ================================
# 
# Parser runtime options: {'infile': None, 'outfile': None, 'datafmt': 'auto', 'width': 0.3, 'nbin': 20, 'npoints': 5000, 'units': 'ev', 'delim': '    ', 'makespec': True, 'header': True, 'cchar': '#', 'verbose': False}
#
# The input appears to contain TDDFT data.
# Successfully parsed 40 TDDFT singlet excitations
# Roots were Lorentzian broadened with width 0.3 eV 
# Spectrum generated with 5000 points.
#
#  Energy [eV]         Abs. [au]   
#----------------------------------
3.2152000000e+00    2.0445682945e-08
3.2181719200e+00    3.0698342684e-08
3.2211438400e+00    3.0728772168e-08
3.2241157600e+00    3.0759246909e-08
3.2270876800e+00    3.0789766997e-08
3.2300596000e+00    3.0820332523e-08
3.2330315200e+00    3.0850943576e-08
3.2360034400e+00    3.0881600246e-08
3.2389753600e+00    3.0912302626e-08
3.2419472800e+00    3.0943050804e-08
3.2449192000e+00    3.0973844874e-08
3.2478911200e+00    3.1004684925e-08
3.2508630400e+00    3.1035571050e-08
3.2538349600e+00    3.1066503340e-08
3.2568068800e+00    3.1097481887e-08
3.2597788000e+00    3.1128506784e-08
3.2627507200e+00    3.1159578123e-08
3.2657226400e+00    3.1190695997e-08
3.2686945600e+00    3.1221860498e-08
3.2716664800e+00    3.1253071720e-08
3.2746384000e+00    3.1284329757e-08
3.2776103200e+00    3.1315634702e-08
3.2805822400e+00    3.1346986648e-08
3.2835541600e+00    3.1378385691e-08
3.2865260800e+00    3.1409831923e-08
3.2894980000e+00    3.1441325441e-08
3.2924699200e+00    3.1472866339e-08
3.2954418400e+00    3.1504454711e-08
3.2984137600e+00    3.1536090654e-08
3.3013856800e+00    3.1567774262e-08
3.3043576000e+00    3.1599505631e-08
3.3073295200e+00    3.1631284859e-08
3.3103014400e+00    3.1663112039e-08
3.3132733600e+00    3.1694987270e-08
3.3162452800e+00    3.1726910649e-08
3.3192172000e+00    3.1758882271e-08
3.3221891200e+00    3.1790902234e-08
3.3251610400e+00    3.1822970636e-08
3.3281329600e+00    3.1855087575e-08
3.3311048800e+00    3.1887253148e-08
3.3340768000e+00    3.1919467453e-08
3.3370487200e+00    3.1951730590e-08
3.3400206400e+00    3.1984042657e-08
3.3429925600e+00    3.2016403752e-08
3.3459644800e+00    3.2048813976e-08
3.3489364000e+00    3.2081273427e-08
3.3519083200e+00    3.2113782205e-08
3.3548802400e+00    3.2146340411e-08
3.3578521600e+00    3.2178948144e-08
3.3608240800e+00    3.2211605504e-08
3.3637960000e+00    3.2244312594e-08
3.3667679200e+00    3.2277069513e-08
3.3697398400e+00    3.2309876363e-08
3.3727117600e+00    3.2342733246e-08
3.3756836800e+00    3.2375640263e-08
3.3786556000e+00    3.2408597515e-08
3.3816275200e+00    3.2441605107e-08
3.3845994400e+00    3.2474663139e-08
3.3875713600e+00    3.2507771716e-08
3.3905432800e+00    3.2540930939e-08
3.3935152000e+00    3.2574140912e-08
3.3964871200e+00    3.2607401740e-08
3.3994590400e+00    3.2640713525e-08
3.4024309600e+00    3.2674076371e-08
3.4054028800e+00    3.2707490384e-08
3.4083748000e+00    3.2740955668e-08
3.4113467200e+00    3.2774472328e-08
3.4143186400e+00    3.2808040469e-08
3.4172905600e+00    3.2841660196e-08
3.4202624800e+00    3.2875331615e-08
3.4232344000e+00    3.2909054833e-08
3.4262063200e+00    3.2942829954e-08
3.4291782400e+00    3.2976657087e-08
3.4321501600e+00    3.3010536338e-08
3.4351220800e+00    3.3044467814e-08
3.4380940000e+00    3.3078451622e-08
3.4410659200e+00    3.3112487870e-08
3.4440378400e+00    3.3146576666e-08
3.4470097600e+00    3.3180718117e-08
3.4499816800e+00    3.3214912334e-08
3.4529536000e+00    3.3249159424e-08
3.4559255200e+00    3.3283459496e-08
3.4588974400e+00    3.3317812659e-08
3.4618693600e+00    3.3352219024e-08
3.4648412800e+00    3.3386678701e-08
3.4678132000e+00    3.3421191798e-08
3.4707851200e+00    3.3455758427e-08
3.4737570400e+00    3.3490378699e-08
3.4767289600e+00    3.3525052724e-08
3.4797008800e+00    3.3559780614e-08
3.4826728000e+00    3.3594562481e-08
3.4856447200e+00    3.3629398436e-08
3.4886166400e+00    3.3664288592e-08
3.4915885600e+00    3.3699233060e-08
3.4945604800e+00    3.3734231954e-08
3.4975324000e+00    3.3769285387e-08
3.5005043200e+00    3.3804393473e-08
3.5034762400e+00    3.3839556324e-08
3.5064481600e+00    3.3874774055e-08
3.5094200800e+00    3.3910046780e-08
3.5123920000e+00    3.3945374613e-08
3.5153639200e+00    3.3980757670e-08
3.5183358400e+00    3.4016196065e-08
3.5213077600e+00    3.4051689914e-08
3.5242796800e+00    3.4087239333e-08
3.5272516000e+00    3.4122844437e-08
3.5302235200e+00    3.4158505344e-08
3.5331954400e+00    3.4194222169e-08
3.5361673600e+00    3.4229995030e-08
3.5391392800e+00    3.4265824044e-08
3.5421112000e+00    3.4301709328e-08
3.5450831200e+00    3.4337651000e-08
3.5480550400e+00    3.4373649179e-08
3.5510269600e+00    3.4409703983e-08
3.5539988800e+00    3.4445815530e-08
3.5569708000e+00    3.4481983941e-08
3.5599427200e+00    3.4518209333e-08
3.5629146400e+00    3.4554491828e-08
3.5658865600e+00    3.4590831545e-08
3.5688584800e+00    3.4627228604e-08
3.5718304000e+00    3.4663683126e-08
3.5748023200e+00    3.4700195233e-08
3.5777742400e+00    3.4736765044e-08
3.5807461600e+00    3.4773392683e-08
3.5837180800e+00    3.4810078271e-08
3.5866900000e+00    3.4846821930e-08
3.5896619200e+00    3.4883623783e-08
3.5926338400e+00    3.4920483953e-08
3.5956057600e+00    3.4957402563e-08
3.5985776800e+00    3.4994379736e-08
3.6015496000e+00    3.5031415597e-08
3.6045215200e+00    3.5068510270e-08
3.6074934400e+00    3.5105663879e-08
3.6104653600e+00    3.5142876550e-08
3.6134372800e+00    3.5180148406e-08
3.6164092000e+00    3.5217479575e-08
3.6193811200e+00    3.5254870182e-08
3.6223530400e+00    3.5292320352e-08
3.6253249600e+00    3.5329830213e-08
3.6282968800e+00    3.5367399892e-08
3.6312688000e+00    3.5405029516e-08
3.6342407200e+00    3.5442719212e-08
3.6372126400e+00    3.5480469108e-08
3.6401845600e+00    3.5518279332e-08
3.6431564800e+00    3.5556150014e-08
3.6461284000e+00    3.5594081281e-08
3.6491003200e+00    3.5632073264e-08
3.6520722400e+00    3.5670126092e-08
3.6550441600e+00    3.5708239894e-08
3.6580160800e+00    3.5746414802e-08
3.6609880000e+00    3.5784650945e-08
3.6639599200e+00    3.5822948455e-08
3.6669318400e+00    3.5861307464e-08
3.6699037600e+00    3.5899728102e-08
3.6728756800e+00    3.5938210502e-08
3.6758476000e+00    3.5976754796e-08
3.6788195200e+00    3.6015361118e-08
3.6817914400e+00    3.6054029600e-08
3.6847633600e+00    3.6092760375e-08
3.6877352800e+00    3.6131553579e-08
3.6907072000e+00    3.6170409344e-08
3.6936791200e+00    3.6209327805e-08
3.6966510400e+00    3.6248309097e-08
3.6996229600e+00    3.6287353357e-08
3.7025948800e+00    3.6326460718e-08
3.7055668000e+00    3.6365631317e-08
3.7085387200e+00    3.6404865292e-08
3.7115106400e+00    3.6444162777e-08
3.7144825600e+00    3.6483523911e-08
3.7174544800e+00    3.6522948831e-08
3.7204264000e+00    3.6562437675e-08
3.7233983200e+00    3.6601990581e-08
3.7263702400e+00    3.6641607688e-08
3.7293421600e+00    3.6681289134e-08
3.7323140800e+00    3.6721035059e-08
3.7352860000e+00    3.6760845603e-08
3.7382579200e+00    3.6800720906e-08
3.7412298400e+00    3.6840661109e-08
3.7442017600e+00    3.6880666351e-08
3.7471736800e+00    3.6920736776e-08
3.7501456000e+00    3.6960872523e-08
3.7531175200e+00    3.7001073735e-08
3.7560894400e+00    3.7041340555e-08
3.7590613600e+00    3.7081673126e-08
3.7620332800e+00    3.7122071590e-08
3.7650052000e+00    3.7162536092e-08
3.7679771200e+00    3.7203066774e-08
3.7709490400e+00    3.7243663782e-08
3.7739209600e+00    3.7284327260e-08
3.7768928800e+00    3.7325057354e-08
3.7798648000e+00    3.7365854209e-08
3.7828367200e+00    3.7406717970e-08
3.7858086400e+00    3.7447648785e-08
3.7887805600e+00    3.7488646800e-08
3.7917524800e+00    3.7529712162e-08
3.7947244000e+00    3.7570845019e-08
3.7976963200e+00    3.7612045519e-08
3.8006682400e+00    3.7653313809e-08
3.8036401600e+00    3.7694650039e-08
3.8066120800e+00    3.7736054359e-08
3.8095840000e+00    3.7777526917e-08
3.8125559200e+00    3.7819067863e-08
3.8155278400e+00    3.7860677348e-08
3.8184997600e+00    3.7902355524e-08
3.8214716800e+00    3.7944102540e-08
3.8244436000e+00    3.7985918549e-08
3.8274155200e+00    3.8027803702e-08
3.8303874400e+00    3.8069758153e-08
3.8333593600e+00    3.8111782054e-08
3.8363312800e+00    3.8153875559e-08
3.8393032000e+00    3.8196038820e-08
3.8422751200e+00    3.8238271993e-08
3.8452470400e+00    3.8280575233e-08
3.8482189600e+00    3.8322948693e-08
3.8511908800e+00    3.8365392530e-08
3.8541628000e+00    3.8407906899e-08
3.8571347200e+00    3.8450491957e-08
3.8601066400e+00    3.8493147860e-08
3.8630785600e+00    3.8535874766e-08
3.8660504800e+00    3.8578672833e-08
3.8690224000e+00    3.8621542218e-08
3.8719943200e+00    3.8664483079e-08
3.8749662400e+00    3.8707495577e-08
3.8779381600e+00    3.8750579870e-08
3.8809100800e+00    3.8793736117e-08
3.8838820000e+00    3.8836964481e-08
3.8868539200e+00    3.8880265120e-08
3.8898258400e+00    3.8923638196e-08
3.8927977600e+00    3.8967083872e-08
3.8957696800e+00    3.9010602308e-08
3.8987416000e+00    3.9054193668e-08
3.9017135200e+00    3.9097858114e-08
3.9046854400e+00    3.9141595810e-08
3.9076573600e+00    3.9185406919e-08
3.9106292800e+00    3.9229291607e-08
3.9136012000e+00    3.9273250038e-08
3.9165731200e+00    3.9317282377e-08
3.9195450400e+00    3.9361388789e-08
3.9225169600e+00    3.9405569442e-08
3.9254888800e+00    3.9449824502e-08
3.9284608000e+00    3.9494154135e-08
3.9314327200e+00    3.9538558510e-08
3.9344046400e+00    3.9583037795e-08
3.9373765600e+00    3.9627592158e-08
3.9403484800e+00    3.9672221767e-08
3.9433204000e+00    3.9716926794e-08
3.9462923200e+00    3.9761707407e-08
3.9492642400e+00    3.9806563777e-08
3.9522361600e+00    3.9851496075e-08
3.9552080800e+00    3.9896504472e-08
3.9581800000e+00    3.9941589141e-08
3.9611519200e+00    3.9986750254e-08
3.9641238400e+00    4.0031987982e-08
3.9670957600e+00    4.0077302501e-08
3.9700676800e+00    4.0122693984e-08
3.9730396000e+00    4.0168162605e-08
3.9760115200e+00    4.0213708538e-08
3.9789834400e+00    4.0259331960e-08
3.9819553600e+00    4.0305033046e-08
3.9849272800e+00    4.0350811973e-08
3.9878992000e+00    4.0396668916e-08
3.9908711200e+00    4.0442604054e-08
3.9938430400e+00    4.0488617565e-08
3.9968149600e+00    4.0534709626e-08
3.9997868800e+00    4.0580880417e-08
4.0027588000e+00    4.0627130117e-08
4.0057307200e+00    4.0673458906e-08
4.0087026400e+00    4.0719866964e-08
4.0116745600e+00    4.0766354472e-08
4.0146464800e+00    4.0812921611e-08
4.0176184000e+00    4.0859568564e-08
4.0205903200e+00    4.0906295513e-08
4.0235622400e+00    4.0953102641e-08
4.0265341600e+00    4.0999990131e-08
4.0295060800e+00    4.1046958167e-08
4.0324780000e+00    4.1094006934e-08
4.0354499200e+00    4.1141136617e-08
4.0384218400e+00    4.1188347402e-08
4.0413937600e+00    4.1235639475e-08
4.0443656800e+00    4.1283013021e-08
4.0473376000e+00    4.1330468230e-08
4.0503095200e+00    4.1378005288e-08
4.0532814400e+00    4.1425624383e-08
4.0562533600e+00    4.1473325705e-08
4.0592252800e+00    4.1521109443e-08
4.0621972000e+00    4.1568975786e-08
4.0651691200e+00    4.1616924925e-08
4.0681410400e+00    4.1664957052e-08
4.0711129600e+00    4.1713072358e-08
4.0740848800e+00    4.1761271034e-08
4.0770568000e+00    4.1809553274e-08
4.0800287200e+00    4.1857919270e-08
4.0830006400e+00    4.1906369218e-08
4.0859725600e+00    4.1954903310e-08
4.0889444800e+00    4.2003521742e-08
4.0919164000e+00    4.2052224709e-08
4.0948883200e+00    4.2101012407e-08
4.0978602400e+00    4.2149885034e-08
4.1008321600e+00    4.2198842785e-08
4.1038040800e+00    4.2247885859e-08
4.1067760000e+00    4.2297014455e-08
4.1097479200e+00    4.2346228770e-08
4.1127198400e+00    4.2395529006e-08
4.1156917600e+00    4.2444915360e-08
4.1186636800e+00    4.2494388035e-08
4.1216356000e+00    4.2543947232e-08
4.1246075200e+00    4.2593593151e-08
4.1275794400e+00    4.2643325997e-08
4.1305513600e+00    4.2693145971e-08
4.1335232800e+00    4.2743053277e-08
4.1364952000e+00    4.2793048120e-08
4.1394671200e+00    4.2843130704e-08
4.1424390400e+00    4.2893301234e-08
4.1454109600e+00    4.2943559917e-08
4.1483828800e+00    4.2993906960e-08
4.1513548000e+00    4.3044342568e-08
4.1543267200e+00    4.3094866951e-08
4.1572986400e+00    4.3145480316e-08
4.1602705600e+00    4.3196182873e-08
4.1632424800e+00    4.3246974831e-08
4.1662144000e+00    4.3297856401e-08
4.1691863200e+00    4.3348827792e-08
4.1721582400e+00    4.3399889218e-08
4.1751301600e+00    4.3451040889e-08
4.1781020800e+00    4.3502283019e-08
4.1810740000e+00    4.3553615821e-08
4.1840459200e+00    4.3605039509e-08
4.1870178400e+00    4.3656554297e-08
4.1899897600e+00    4.3708160401e-08
4.1929616800e+00    4.3759858037e-08
4.1959336000e+00    4.3811647421e-08
4.1989055200e+00    4.3863528770e-08
4.2018774400e+00    4.3915502303e-08
4.2048493600e+00    4.3967568237e-08
4.2078212800e+00    4.4019726792e-08
4.2107932000e+00    4.4071978188e-08
4.2137651200e+00    4.4124322644e-08
4.2167370400e+00    4.4176760382e-08
4.2197089600e+00    4.4229291624e-08
4.2226808800e+00    4.4281916592e-08
4.2256528000e+00    4.4334635509e-08
4.2286247200e+00    4.4387448599e-08
4.2315966400e+00    4.4440356086e-08
4.2345685600e+00    4.4493358195e-08
4.2375404800e+00    4.4546455152e-08
4.2405124000e+00    4.4599647183e-08
4.2434843200e+00    4.4652934516e-08
4.2464562400e+00    4.4706317377e-08
4.2494281600e+00    4.4759795996e-08
4.2524000800e+00    4.4813370602e-08
4.2553720000e+00    4.4867041423e-08
4.2583439200e+00    4.4920808692e-08
4.2613158400e+00    4.4974672638e-08
4.2642877600e+00    4.5028633494e-08
4.2672596800e+00    4.5082691493e-08
4.2702316000e+00    4.5136846867e-08
4.2732035200e+00    4.5191099850e-08
4.2761754400e+00    4.5245450678e-08
4.2791473600e+00    4.5299899585e-08
4.2821192800e+00    4.5354447201e-08
4.2850912000e+00    4.5409092976e-08
4.2880631200e+00    4.5463837541e-08
4.2910350400e+00    4.5518681134e-08
4.2940069600e+00    4.5573623994e-08
4.2969788800e+00    4.5628666361e-08
4.2999508000e+00    4.5683808474e-08
4.3029227200e+00    4.5739050575e-08
4.3058946400e+00    4.5794392906e-08
4.3088665600e+00    4.5849835709e-08
4.3118384800e+00    4.5905379228e-08
4.3148104000e+00    4.5961023707e-08
4.3177823200e+00    4.6016769390e-08
4.3207542400e+00    4.6072616522e-08
4.3237261600e+00    4.6128565351e-08
4.3266980800e+00    4.6184616123e-08
4.3296700000e+00    4.6240769086e-08
4.3326419200e+00    4.6297024488e-08
4.3356138400e+00    4.6353382578e-08
4.3385857600e+00    4.6409843607e-08
4.3415576800e+00    4.6466407826e-08
4.3445296000e+00    4.6523075485e-08
4.3475015200e+00    4.6579846837e-08
4.3504734400e+00    4.6636722136e-08
4.3534453600e+00    4.6693701634e-08
4.3564172800e+00    4.6750785588e-08
4.3593892000e+00    4.6807974251e-08
4.3623611200e+00    4.6865267881e-08
4.3653330400e+00    4.6922666733e-08
4.3683049600e+00    4.6980171067e-08
4.3712768800e+00    4.7037781140e-08
4.3742488000e+00    4.7095497212e-08
4.3772207200e+00    4.7153319542e-08
4.3801926400e+00    4.7211248393e-08
4.3831645600e+00    4.7269284025e-08
4.3861364800e+00    4.7327426701e-08
4.3891084000e+00    4.7385676684e-08
4.3920803200e+00    4.7444034239e-08
4.3950522400e+00    4.7502499630e-08
4.3980241600e+00    4.7561073124e-08
4.4009960800e+00    4.7619754986e-08
4.4039680000e+00    4.7678545484e-08
4.4069399200e+00    4.7737444887e-08
