# ================================
#  NWChem spectrum parser ver 2.2
# ================================
# 
# Parser runtime options: {'infile': None, 'outfile': None, 'datafmt': 'auto', 'width': 0.3, 'nbin': 20, 'npoints': 5000, 'units': 'ev', 'delim': '    ', 'makespec': True, 'header': True, 'cchar': '#', 'verbose': False}
#
# The input appears to contain TDDFT data.
# Successfully parsed 40 TDDFT singlet excitations
# Roots were Lorentzian broadened with width 0.3 eV 
# Spectrum generated with 5000 points.
#
#  Energy [eV]         Abs. [au]   
#----------------------------------
3.2152000000e+00    7.8783386796e-06
3.2181719200e+00    1.1829084879e-05
3.2211438400e+00    1.1840810364e-05
3.2241157600e+00    1.1852553287e-05
3.2270876800e+00    1.1864313685e-05
3.2300596000e+00    1.1876091591e-05
3.2330315200e+00    1.1887887040e-05
3.2360034400e+00    1.1899700068e-05
3.2389753600e+00    1.1911530708e-05
3.2419472800e+00    1.1923378996e-05
3.2449192000e+00    1.1935244968e-05
3.2478911200e+00    1.1947128658e-05
3.2508630400e+00    1.1959030101e-05
3.2538349600e+00    1.1970949334e-05
3.2568068800e+00    1.1982886391e-05
3.2597788000e+00    1.1994841308e-05
3.2627507200e+00    1.2006814120e-05
3.2657226400e+00    1.2018804864e-05
3.2686945600e+00    1.2030813576e-05
3.2716664800e+00    1.2042840290e-05
3.2746384000e+00    1.2054885043e-05
3.2776103200e+00    1.2066947872e-05
3.2805822400e+00    1.2079028812e-05
3.2835541600e+00    1.2091127900e-05
3.2865260800e+00    1.2103245171e-05
3.2894980000e+00    1.2115380663e-05
3.2924699200e+00    1.2127534412e-05
3.2954418400e+00    1.2139706455e-05
3.2984137600e+00    1.2151896828e-05
3.3013856800e+00    1.2164105568e-05
3.3043576000e+00    1.2176332713e-05
3.3073295200e+00    1.2188578298e-05
3.3103014400e+00    1.2200842361e-05
3.3132733600e+00    1.2213124940e-05
3.3162452800e+00    1.2225426072e-05
3.3192172000e+00    1.2237745793e-05
3.3221891200e+00    1.2250084142e-05
3.3251610400e+00    1.2262441156e-05
3.3281329600e+00    1.2274816873e-05
3.3311048800e+00    1.2287211330e-05
3.3340768000e+00    1.2299624565e-05
3.3370487200e+00    1.2312056617e-05
3.3400206400e+00    1.2324507523e-05
3.3429925600e+00    1.2336977322e-05
3.3459644800e+00    1.2349466051e-05
3.3489364000e+00    1.2361973749e-05
3.3519083200e+00    1.2374500454e-05
3.3548802400e+00    1.2387046206e-05
3.3578521600e+00    1.2399611042e-05
3.3608240800e+00    1.2412195001e-05
3.3637960000e+00    1.2424798122e-05
3.3667679200e+00    1.2437420445e-05
3.3697398400e+00    1.2450062007e-05
3.3727117600e+00    1.2462722849e-05
3.3756836800e+00    1.2475403008e-05
3.3786556000e+00    1.2488102526e-05
3.3816275200e+00    1.2500821441e-05
3.3845994400e+00    1.2513559792e-05
3.3875713600e+00    1.2526317619e-05
3.3905432800e+00    1.2539094963e-05
3.3935152000e+00    1.2551891862e-05
3.3964871200e+00    1.2564708357e-05
3.3994590400e+00    1.2577544487e-05
