# ================================
#  NWChem spectrum parser ver 2.2
# ================================
# 
# Parser runtime options: {'infile': None, 'outfile': None, 'datafmt': 'auto', 'width': 0.3, 'nbin': 20, 'npoints': 5000, 'units': 'ev', 'delim': '    ', 'makespec': True, 'header': True, 'cchar': '#', 'verbose': False}
#
# The input appears to contain TDDFT data.
# Successfully parsed 40 TDDFT singlet excitations
# Roots were Lorentzian broadened with width 0.3 eV 
# Spectrum generated with 5000 points.
#
#  Energy [eV]         Abs. [au]   
#----------------------------------
5.0288000000e+00    3.3400110458e-08
5.0317878000e+00    3.3433378792e-08
5.0347756000e+00    3.3466696845e-08
5.0377634000e+00    3.3500064717e-08
5.0407512000e+00    3.3533482508e-08
5.0437390000e+00    3.3566950316e-08
5.0467268000e+00    3.3600468243e-08
5.0497146000e+00    3.3634036388e-08
5.0527024000e+00    3.3667654851e-08
5.0556902000e+00    3.3701323733e-08
5.0586780000e+00    3.3735043134e-08
5.0616658000e+00    3.3768813157e-08
5.0646536000e+00    3.3802633902e-08
5.0676414000e+00    3.3836505471e-08
5.0706292000e+00    3.3870427965e-08
5.0736170000e+00    3.3904401487e-08
5.0766048000e+00    3.3938426140e-08
5.0795926000e+00    3.3972502025e-08
5.0825804000e+00    3.4006629246e-08
5.0855682000e+00    3.4040807906e-08
5.0885560000e+00    3.4075038109e-08
5.0915438000e+00    3.4109319957e-08
5.0945316000e+00    3.4143653555e-08
5.0975194000e+00    3.4178039007e-08
5.1005072000e+00    3.4212476418e-08
5.1034950000e+00    3.4246965891e-08
5.1064828000e+00    3.4281507533e-08
5.1094706000e+00    3.4316101449e-08
5.1124584000e+00    3.4350747743e-08
5.1154462000e+00    3.4385446523e-08
5.1184340000e+00    3.4420197893e-08
5.1214218000e+00    3.4455001960e-08
5.1244096000e+00    3.4489858831e-08
5.1273974000e+00    3.4524768612e-08
5.1303852000e+00    3.4559731411e-08
5.1333730000e+00    3.4594747334e-08
5.1363608000e+00    3.4629816491e-08
5.1393486000e+00    3.4664938988e-08
5.1423364000e+00    3.4700114934e-08
5.1453242000e+00    3.4735344437e-08
5.1483120000e+00    3.4770627607e-08
5.1512998000e+00    3.4805964551e-08
5.1542876000e+00    3.4841355380e-08
5.1572754000e+00    3.4876800203e-08
5.1602632000e+00    3.4912299129e-08
5.1632510000e+00    3.4947852270e-08
5.1662388000e+00    3.4983459735e-08
5.1692266000e+00    3.5019121635e-08
5.1722144000e+00    3.5054838081e-08
5.1752022000e+00    3.5090609185e-08
5.1781900000e+00    3.5126435058e-08
5.1811778000e+00    3.5162315811e-08
5.1841656000e+00    3.5198251557e-08
5.1871534000e+00    3.5234242409e-08
5.1901412000e+00    3.5270288479e-08
5.1931290000e+00    3.5306389879e-08
5.1961168000e+00    3.5342546724e-08
5.1991046000e+00    3.5378759127e-08
5.2020924000e+00    3.5415027202e-08
5.2050802000e+00    3.5451351062e-08
5.2080680000e+00    3.5487730823e-08
5.2110558000e+00    3.5524166599e-08
5.2140436000e+00    3.5560658505e-08
5.2170314000e+00    3.5597206656e-08
5.2200192000e+00    3.5633811168e-08
5.2230070000e+00    3.5670472157e-08
5.2259948000e+00    3.5707189740e-08
5.2289826000e+00    3.5743964032e-08
5.2319704000e+00    3.5780795151e-08
5.2349582000e+00    3.5817683213e-08
5.2379460000e+00    3.5854628336e-08
5.2409338000e+00    3.5891630638e-08
5.2439216000e+00    3.5928690237e-08
5.2469094000e+00    3.5965807251e-08
5.2498972000e+00    3.6002981799e-08
5.2528850000e+00    3.6040213999e-08
5.2558728000e+00    3.6077503972e-08
5.2588606000e+00    3.6114851835e-08
5.2618484000e+00    3.6152257711e-08
5.2648362000e+00    3.6189721717e-08
5.2678240000e+00    3.6227243976e-08
5.2708118000e+00    3.6264824608e-08
5.2737996000e+00    3.6302463734e-08
5.2767874000e+00    3.6340161475e-08
5.2797752000e+00    3.6377917953e-08
5.2827630000e+00    3.6415733290e-08
5.2857508000e+00    3.6453607609e-08
5.2887386000e+00    3.6491541032e-08
5.2917264000e+00    3.6529533683e-08
5.2947142000e+00    3.6567585684e-08
5.2977020000e+00    3.6605697159e-08
5.3006898000e+00    3.6643868233e-08
5.3036776000e+00    3.6682099029e-08
5.3066654000e+00    3.6720389672e-08
5.3096532000e+00    3.6758740288e-08
5.3126410000e+00    3.6797151000e-08
5.3156288000e+00    3.6835621936e-08
5.3186166000e+00    3.6874153221e-08
5.3216044000e+00    3.6912744981e-08
5.3245922000e+00    3.6951397343e-08
5.3275800000e+00    3.6990110434e-08
5.3305678000e+00    3.7028884380e-08
5.3335556000e+00    3.7067719310e-08
5.3365434000e+00    3.7106615352e-08
5.3395312000e+00    3.7145572633e-08
5.3425190000e+00    3.7184591283e-08
5.3455068000e+00    3.7223671430e-08
5.3484946000e+00    3.7262813203e-08
5.3514824000e+00    3.7302016733e-08
5.3544702000e+00    3.7341282149e-08
5.3574580000e+00    3.7380609581e-08
5.3604458000e+00    3.7419999161e-08
5.3634336000e+00    3.7459451018e-08
5.3664214000e+00    3.7498965285e-08
5.3694092000e+00    3.7538542092e-08
5.3723970000e+00    3.7578181573e-08
5.3753848000e+00    3.7617883859e-08
5.3783726000e+00    3.7657649083e-08
5.3813604000e+00    3.7697477379e-08
5.3843482000e+00    3.7737368879e-08
5.3873360000e+00    3.7777323718e-08
5.3903238000e+00    3.7817342029e-08
5.3933116000e+00    3.7857423947e-08
5.3962994000e+00    3.7897569607e-08
5.3992872000e+00    3.7937779144e-08
5.4022750000e+00    3.7978052694e-08
5.4052628000e+00    3.8018390392e-08
5.4082506000e+00    3.8058792375e-08
5.4112384000e+00    3.8099258779e-08
5.4142262000e+00    3.8139789742e-08
5.4172140000e+00    3.8180385401e-08
5.4202018000e+00    3.8221045893e-08
5.4231896000e+00    3.8261771357e-08
5.4261774000e+00    3.8302561931e-08
5.4291652000e+00    3.8343417754e-08
5.4321530000e+00    3.8384338965e-08
5.4351408000e+00    3.8425325703e-08
5.4381286000e+00    3.8466378110e-08
5.4411164000e+00    3.8507496324e-08
5.4441042000e+00    3.8548680487e-08
5.4470920000e+00    3.8589930740e-08
5.4500798000e+00    3.8631247224e-08
5.4530676000e+00    3.8672630081e-08
5.4560554000e+00    3.8714079453e-08
5.4590432000e+00    3.8755595483e-08
5.4620310000e+00    3.8797178314e-08
5.4650188000e+00    3.8838828089e-08
5.4680066000e+00    3.8880544952e-08
5.4709944000e+00    3.8922329047e-08
5.4739822000e+00    3.8964180519e-08
5.4769700000e+00    3.9006099512e-08
5.4799578000e+00    3.9048086172e-08
5.4829456000e+00    3.9090140644e-08
5.4859334000e+00    3.9132263075e-08
5.4889212000e+00    3.9174453610e-08
5.4919090000e+00    3.9216712398e-08
5.4948968000e+00    3.9259039584e-08
5.4978846000e+00    3.9301435317e-08
5.5008724000e+00    3.9343899745e-08
5.5038602000e+00    3.9386433017e-08
5.5068480000e+00    3.9429035280e-08
5.5098358000e+00    3.9471706685e-08
5.5128236000e+00    3.9514447380e-08
5.5158114000e+00    3.9557257517e-08
5.5187992000e+00    3.9600137245e-08
5.5217870000e+00    3.9643086716e-08
5.5247748000e+00    3.9686106081e-08
5.5277626000e+00    3.9729195491e-08
5.5307504000e+00    3.9772355098e-08
5.5337382000e+00    3.9815585056e-08
5.5367260000e+00    3.9858885516e-08
5.5397138000e+00    3.9902256633e-08
5.5427016000e+00    3.9945698560e-08
5.5456894000e+00    3.9989211451e-08
5.5486772000e+00    4.0032795461e-08
