# ================================
#  NWChem spectrum parser ver 2.2
# ================================
# 
# Parser runtime options: {'infile': None, 'outfile': None, 'datafmt': 'auto', 'width': 0.3, 'nbin': 20, 'npoints': 5000, 'units': 'ev', 'delim': '    ', 'makespec': True, 'header': True, 'cchar': '#', 'verbose': False}
#
# The input appears to contain TDDFT data.
# Successfully parsed 40 TDDFT singlet excitations
# Roots were Lorentzian broadened with width 0.3 eV 
# Spectrum generated with 5000 points.
#
#  Energy [eV]         Abs. [au]   
#----------------------------------
5.0288000000e+00    1.1880653066e-05
5.0317878000e+00    1.1892486845e-05
5.0347756000e+00    1.1904338310e-05
5.0377634000e+00    1.1916207495e-05
5.0407512000e+00    1.1928094438e-05
5.0437390000e+00    1.1939999171e-05
5.0467268000e+00    1.1951921732e-05
5.0497146000e+00    1.1963862156e-05
5.0527024000e+00    1.1975820479e-05
5.0556902000e+00    1.1987796736e-05
5.0586780000e+00    1.1999790963e-05
5.0616658000e+00    1.2011803197e-05
5.0646536000e+00    1.2023833472e-05
5.0676414000e+00    1.2035881826e-05
5.0706292000e+00    1.2047948295e-05
5.0736170000e+00    1.2060032915e-05
5.0766048000e+00    1.2072135722e-05
5.0795926000e+00    1.2084256753e-05
5.0825804000e+00    1.2096396044e-05
5.0855682000e+00    1.2108553633e-05
5.0885560000e+00    1.2120729555e-05
5.0915438000e+00    1.2132923849e-05
5.0945316000e+00    1.2145136550e-05
5.0975194000e+00    1.2157367696e-05
5.1005072000e+00    1.2169617324e-05
5.1034950000e+00    1.2181885471e-05
5.1064828000e+00    1.2194172175e-05
5.1094706000e+00    1.2206477473e-05
5.1124584000e+00    1.2218801402e-05
5.1154462000e+00    1.2231144001e-05
5.1184340000e+00    1.2243505306e-05
5.1214218000e+00    1.2255885357e-05
5.1244096000e+00    1.2268284189e-05
5.1273974000e+00    1.2280701843e-05
5.1303852000e+00    1.2293138355e-05
5.1333730000e+00    1.2305593764e-05
5.1363608000e+00    1.2318068109e-05
5.1393486000e+00    1.2330561427e-05
5.1423364000e+00    1.2343073757e-05
5.1453242000e+00    1.2355605138e-05
5.1483120000e+00    1.2368155608e-05
5.1512998000e+00    1.2380725207e-05
5.1542876000e+00    1.2393313972e-05
5.1572754000e+00    1.2405921944e-05
5.1602632000e+00    1.2418549161e-05
5.1632510000e+00    1.2431195661e-05
5.1662388000e+00    1.2443861486e-05
5.1692266000e+00    1.2456546674e-05
5.1722144000e+00    1.2469251263e-05
5.1752022000e+00    1.2481975295e-05
5.1781900000e+00    1.2494718809e-05
5.1811778000e+00    1.2507481844e-05
5.1841656000e+00    1.2520264441e-05
5.1871534000e+00    1.2533066638e-05
5.1901412000e+00    1.2545888478e-05
5.1931290000e+00    1.2558729999e-05
5.1961168000e+00    1.2571591242e-05
5.1991046000e+00    1.2584472247e-05
5.2020924000e+00    1.2597373055e-05
5.2050802000e+00    1.2610293706e-05
5.2080680000e+00    1.2623234242e-05
5.2110558000e+00    1.2636194702e-05
5.2140436000e+00    1.2649175128e-05
5.2170314000e+00    1.2662175562e-05
5.2200192000e+00    1.2675196043e-05
5.2230070000e+00    1.2688236613e-05
5.2259948000e+00    1.2701297314e-05
5.2289826000e+00    1.2714378187e-05
5.2319704000e+00    1.2727479274e-05
5.2349582000e+00    1.2740600616e-05
5.2379460000e+00    1.2753742255e-05
5.2409338000e+00    1.2766904233e-05
