# ================================
#  NWChem spectrum parser ver 2.2
# ================================
# 
# Parser runtime options: {'infile': None, 'outfile': None, 'datafmt': 'auto', 'width': 0.3, 'nbin': 20, 'npoints': 5000, 'units': 'ev', 'delim': '    ', 'makespec': True, 'header': True, 'cchar': '#', 'verbose': False}
#
# The input appears to contain TDDFT data.
# Successfully parsed 40 TDDFT singlet excitations
# Roots were Lorentzian broadened with width 0.3 eV 
# Spectrum generated with 5000 points.
#
#  Energy [eV]         Abs. [au]   
#----------------------------------
1.7447000000e+00    4.0469957663e-08
1.7476353200e+00    4.0509559390e-08
1.7505706400e+00    4.0549219261e-08
1.7535059600e+00    4.0588937391e-08
1.7564412800e+00    4.0628713893e-08
1.7593766000e+00    4.0668548882e-08
1.7623119200e+00    4.0708442473e-08
1.7652472400e+00    4.0748394780e-08
1.7681825600e+00    4.0788405919e-08
1.7711178800e+00    4.0828476005e-08
1.7740532000e+00    4.0868605155e-08
1.7769885200e+00    4.0908793484e-08
1.7799238400e+00    4.0949041108e-08
1.7828591600e+00    4.0989348146e-08
1.7857944800e+00    4.1029714712e-08
1.7887298000e+00    4.1070140925e-08
1.7916651200e+00    4.1110626902e-08
1.7946004400e+00    4.1151172762e-08
1.7975357600e+00    4.1191778621e-08
1.8004710800e+00    4.1232444599e-08
1.8034064000e+00    4.1273170814e-08
1.8063417200e+00    4.1313957386e-08
1.8092770400e+00    4.1354804433e-08
1.8122123600e+00    4.1395712075e-08
1.8151476800e+00    4.1436680432e-08
1.8180830000e+00    4.1477709625e-08
1.8210183200e+00    4.1518799773e-08
1.8239536400e+00    4.1559950997e-08
1.8268889600e+00    4.1601163420e-08
1.8298242800e+00    4.1642437161e-08
1.8327596000e+00    4.1683772343e-08
1.8356949200e+00    4.1725169087e-08
1.8386302400e+00    4.1766627517e-08
1.8415655600e+00    4.1808147753e-08
1.8445008800e+00    4.1849729921e-08
1.8474362000e+00    4.1891374141e-08
1.8503715200e+00    4.1933080539e-08
1.8533068400e+00    4.1974849238e-08
1.8562421600e+00    4.2016680362e-08
1.8591774800e+00    4.2058574035e-08
1.8621128000e+00    4.2100530383e-08
1.8650481200e+00    4.2142549530e-08
1.8679834400e+00    4.2184631601e-08
1.8709187600e+00    4.2226776723e-08
1.8738540800e+00    4.2268985021e-08
1.8767894000e+00    4.2311256621e-08
1.8797247200e+00    4.2353591651e-08
1.8826600400e+00    4.2395990237e-08
1.8855953600e+00    4.2438452506e-08
1.8885306800e+00    4.2480978586e-08
1.8914660000e+00    4.2523568605e-08
1.8944013200e+00    4.2566222691e-08
1.8973366400e+00    4.2608940973e-08
1.9002719600e+00    4.2651723580e-08
1.9032072800e+00    4.2694570639e-08
1.9061426000e+00    4.2737482283e-08
1.9090779200e+00    4.2780458639e-08
1.9120132400e+00    4.2823499838e-08
1.9149485600e+00    4.2866606011e-08
1.9178838800e+00    4.2909777288e-08
1.9208192000e+00    4.2953013801e-08
1.9237545200e+00    4.2996315681e-08
1.9266898400e+00    4.3039683060e-08
1.9296251600e+00    4.3083116070e-08
1.9325604800e+00    4.3126614843e-08
1.9354958000e+00    4.3170179513e-08
1.9384311200e+00    4.3213810212e-08
1.9413664400e+00    4.3257507074e-08
1.9443017600e+00    4.3301270232e-08
1.9472370800e+00    4.3345099822e-08
1.9501724000e+00    4.3388995977e-08
1.9531077200e+00    4.3432958832e-08
1.9560430400e+00    4.3476988522e-08
1.9589783600e+00    4.3521085183e-08
1.9619136800e+00    4.3565248951e-08
1.9648490000e+00    4.3609479962e-08
1.9677843200e+00    4.3653778352e-08
1.9707196400e+00    4.3698144259e-08
1.9736549600e+00    4.3742577819e-08
1.9765902800e+00    4.3787079171e-08
1.9795256000e+00    4.3831648452e-08
1.9824609200e+00    4.3876285800e-08
1.9853962400e+00    4.3920991354e-08
1.9883315600e+00    4.3965765253e-08
1.9912668800e+00    4.4010607637e-08
1.9942022000e+00    4.4055518645e-08
1.9971375200e+00    4.4100498417e-08
2.0000728400e+00    4.4145547094e-08
2.0030081600e+00    4.4190664816e-08
2.0059434800e+00    4.4235851725e-08
2.0088788000e+00    4.4281107962e-08
2.0118141200e+00    4.4326433668e-08
2.0147494400e+00    4.4371828987e-08
2.0176847600e+00    4.4417294061e-08
2.0206200800e+00    4.4462829032e-08
2.0235554000e+00    4.4508434044e-08
2.0264907200e+00    4.4554109241e-08
2.0294260400e+00    4.4599854767e-08
2.0323613600e+00    4.4645670766e-08
2.0352966800e+00    4.4691557383e-08
2.0382320000e+00    4.4737514763e-08
2.0411673200e+00    4.4783543051e-08
2.0441026400e+00    4.4829642395e-08
2.0470379600e+00    4.4875812939e-08
2.0499732800e+00    4.4922054831e-08
2.0529086000e+00    4.4968368217e-08
2.0558439200e+00    4.5014753245e-08
2.0587792400e+00    4.5061210064e-08
2.0617145600e+00    4.5107738820e-08
2.0646498800e+00    4.5154339663e-08
2.0675852000e+00    4.5201012741e-08
2.0705205200e+00    4.5247758205e-08
2.0734558400e+00    4.5294576203e-08
2.0763911600e+00    4.5341466885e-08
2.0793264800e+00    4.5388430403e-08
2.0822618000e+00    4.5435466907e-08
2.0851971200e+00    4.5482576549e-08
2.0881324400e+00    4.5529759479e-08
2.0910677600e+00    4.5577015851e-08
2.0940030800e+00    4.5624345816e-08
2.0969384000e+00    4.5671749528e-08
2.0998737200e+00    4.5719227139e-08
2.1028090400e+00    4.5766778804e-08
2.1057443600e+00    4.5814404676e-08
2.1086796800e+00    4.5862104910e-08
2.1116150000e+00    4.5909879660e-08
2.1145503200e+00    4.5957729083e-08
2.1174856400e+00    4.6005653333e-08
2.1204209600e+00    4.6053652567e-08
2.1233562800e+00    4.6101726941e-08
2.1262916000e+00    4.6149876612e-08
2.1292269200e+00    4.6198101738e-08
2.1321622400e+00    4.6246402475e-08
2.1350975600e+00    4.6294778983e-08
2.1380328800e+00    4.6343231419e-08
2.1409682000e+00    4.6391759943e-08
2.1439035200e+00    4.6440364714e-08
2.1468388400e+00    4.6489045892e-08
2.1497741600e+00    4.6537803637e-08
2.1527094800e+00    4.6586638109e-08
2.1556448000e+00    4.6635549470e-08
2.1585801200e+00    4.6684537881e-08
2.1615154400e+00    4.6733603504e-08
2.1644507600e+00    4.6782746501e-08
2.1673860800e+00    4.6831967035e-08
2.1703214000e+00    4.6881265269e-08
2.1732567200e+00    4.6930641367e-08
2.1761920400e+00    4.6980095492e-08
2.1791273600e+00    4.7029627810e-08
2.1820626800e+00    4.7079238485e-08
2.1849980000e+00    4.7128927683e-08
2.1879333200e+00    4.7178695568e-08
2.1908686400e+00    4.7228542308e-08
2.1938039600e+00    4.7278468069e-08
2.1967392800e+00    4.7328473018e-08
2.1996746000e+00    4.7378557323e-08
2.2026099200e+00    4.7428721151e-08
2.2055452400e+00    4.7478964671e-08
2.2084805600e+00    4.7529288052e-08
2.2114158800e+00    4.7579691463e-08
2.2143512000e+00    4.7630175074e-08
2.2172865200e+00    4.7680739055e-08
2.2202218400e+00    4.7731383577e-08
2.2231571600e+00    4.7782108810e-08
2.2260924800e+00    4.7832914927e-08
2.2290278000e+00    4.7883802099e-08
2.2319631200e+00    4.7934770499e-08
2.2348984400e+00    4.7985820300e-08
2.2378337600e+00    4.8036951675e-08
2.2407690800e+00    4.8088164798e-08
2.2437044000e+00    4.8139459843e-08
2.2466397200e+00    4.8190836985e-08
2.2495750400e+00    4.8242296400e-08
2.2525103600e+00    4.8293838262e-08
2.2554456800e+00    4.8345462749e-08
2.2583810000e+00    4.8397170037e-08
2.2613163200e+00    4.8448960303e-08
2.2642516400e+00    4.8500833724e-08
2.2671869600e+00    4.8552790479e-08
2.2701222800e+00    4.8604830746e-08
2.2730576000e+00    4.8656954705e-08
2.2759929200e+00    4.8709162534e-08
2.2789282400e+00    4.8761454414e-08
2.2818635600e+00    4.8813830525e-08
2.2847988800e+00    4.8866291049e-08
2.2877342000e+00    4.8918836166e-08
2.2906695200e+00    4.8971466058e-08
2.2936048400e+00    4.9024180909e-08
2.2965401600e+00    4.9076980900e-08
2.2994754800e+00    4.9129866216e-08
2.3024108000e+00    4.9182837039e-08
2.3053461200e+00    4.9235893556e-08
2.3082814400e+00    4.9289035950e-08
2.3112167600e+00    4.9342264406e-08
2.3141520800e+00    4.9395579112e-08
2.3170874000e+00    4.9448980252e-08
2.3200227200e+00    4.9502468015e-08
2.3229580400e+00    4.9556042587e-08
2.3258933600e+00    4.9609704156e-08
2.3288286800e+00    4.9663452911e-08
2.3317640000e+00    4.9717289041e-08
2.3346993200e+00    4.9771212734e-08
2.3376346400e+00    4.9825224182e-08
2.3405699600e+00    4.9879323575e-08
2.3435052800e+00    4.9933511102e-08
2.3464406000e+00    4.9987786957e-08
2.3493759200e+00    5.0042151331e-08
2.3523112400e+00    5.0096604417e-08
2.3552465600e+00    5.0151146407e-08
2.3581818800e+00    5.0205777495e-08
2.3611172000e+00    5.0260497876e-08
2.3640525200e+00    5.0315307743e-08
2.3669878400e+00    5.0370207293e-08
2.3699231600e+00    5.0425196721e-08
2.3728584800e+00    5.0480276223e-08
2.3757938000e+00    5.0535445995e-08
2.3787291200e+00    5.0590706236e-08
2.3816644400e+00    5.0646057143e-08
2.3845997600e+00    5.0701498915e-08
2.3875350800e+00    5.0757031750e-08
2.3904704000e+00    5.0812655848e-08
2.3934057200e+00    5.0868371409e-08
2.3963410400e+00    5.0924178633e-08
2.3992763600e+00    5.0980077722e-08
2.4022116800e+00    5.1036068878e-08
2.4051470000e+00    5.1092152302e-08
2.4080823200e+00    5.1148328197e-08
2.4110176400e+00    5.1204596767e-08
2.4139529600e+00    5.1260958216e-08
2.4168882800e+00    5.1317412748e-08
2.4198236000e+00    5.1373960567e-08
2.4227589200e+00    5.1430601881e-08
2.4256942400e+00    5.1487336895e-08
2.4286295600e+00    5.1544165815e-08
2.4315648800e+00    5.1601088849e-08
2.4345002000e+00    5.1658106205e-08
2.4374355200e+00    5.1715218091e-08
2.4403708400e+00    5.1772424717e-08
2.4433061600e+00    5.1829726291e-08
2.4462414800e+00    5.1887123024e-08
2.4491768000e+00    5.1944615128e-08
2.4521121200e+00    5.2002202812e-08
2.4550474400e+00    5.2059886290e-08
2.4579827600e+00    5.2117665773e-08
2.4609180800e+00    5.2175541475e-08
2.4638534000e+00    5.2233513609e-08
2.4667887200e+00    5.2291582390e-08
2.4697240400e+00    5.2349748033e-08
2.4726593600e+00    5.2408010752e-08
2.4755946800e+00    5.2466370765e-08
2.4785300000e+00    5.2524828288e-08
2.4814653200e+00    5.2583383538e-08
2.4844006400e+00    5.2642036734e-08
2.4873359600e+00    5.2700788092e-08
2.4902712800e+00    5.2759637834e-08
2.4932066000e+00    5.2818586178e-08
2.4961419200e+00    5.2877633344e-08
2.4990772400e+00    5.2936779555e-08
2.5020125600e+00    5.2996025030e-08
2.5049478800e+00    5.3055369994e-08
2.5078832000e+00    5.3114814667e-08
2.5108185200e+00    5.3174359274e-08
2.5137538400e+00    5.3234004039e-08
2.5166891600e+00    5.3293749187e-08
2.5196244800e+00    5.3353594942e-08
2.5225598000e+00    5.3413541531e-08
2.5254951200e+00    5.3473589181e-08
2.5284304400e+00    5.3533738118e-08
2.5313657600e+00    5.3593988571e-08
2.5343010800e+00    5.3654340767e-08
2.5372364000e+00    5.3714794937e-08
2.5401717200e+00    5.3775351310e-08
2.5431070400e+00    5.3836010116e-08
2.5460423600e+00    5.3896771586e-08
2.5489776800e+00    5.3957635953e-08
2.5519130000e+00    5.4018603448e-08
2.5548483200e+00    5.4079674305e-08
2.5577836400e+00    5.4140848757e-08
2.5607189600e+00    5.4202127039e-08
2.5636542800e+00    5.4263509386e-08
2.5665896000e+00    5.4324996033e-08
2.5695249200e+00    5.4386587217e-08
2.5724602400e+00    5.4448283175e-08
2.5753955600e+00    5.4510084145e-08
2.5783308800e+00    5.4571990365e-08
2.5812662000e+00    5.4634002073e-08
2.5842015200e+00    5.4696119511e-08
2.5871368400e+00    5.4758342917e-08
2.5900721600e+00    5.4820672534e-08
2.5930074800e+00    5.4883108603e-08
2.5959428000e+00    5.4945651367e-08
2.5988781200e+00    5.5008301069e-08
2.6018134400e+00    5.5071057952e-08
2.6047487600e+00    5.5133922261e-08
2.6076840800e+00    5.5196894242e-08
2.6106194000e+00    5.5259974140e-08
2.6135547200e+00    5.5323162202e-08
2.6164900400e+00    5.5386458676e-08
2.6194253600e+00    5.5449863809e-08
2.6223606800e+00    5.5513377850e-08
2.6252960000e+00    5.5577001049e-08
2.6282313200e+00    5.5640733657e-08
2.6311666400e+00    5.5704575923e-08
2.6341019600e+00    5.5768528099e-08
2.6370372800e+00    5.5832590439e-08
2.6399726000e+00    5.5896763194e-08
2.6429079200e+00    5.5961046620e-08
2.6458432400e+00    5.6025440970e-08
2.6487785600e+00    5.6089946499e-08
2.6517138800e+00    5.6154563464e-08
2.6546492000e+00    5.6219292122e-08
2.6575845200e+00    5.6284132730e-08
2.6605198400e+00    5.6349085545e-08
2.6634551600e+00    5.6414150828e-08
2.6663904800e+00    5.6479328838e-08
2.6693258000e+00    5.6544619835e-08
2.6722611200e+00    5.6610024080e-08
2.6751964400e+00    5.6675541837e-08
2.6781317600e+00    5.6741173366e-08
2.6810670800e+00    5.6806918932e-08
2.6840024000e+00    5.6872778800e-08
2.6869377200e+00    5.6938753233e-08
2.6898730400e+00    5.7004842498e-08
2.6928083600e+00    5.7071046862e-08
2.6957436800e+00    5.7137366592e-08
2.6986790000e+00    5.7203801955e-08
2.7016143200e+00    5.7270353222e-08
2.7045496400e+00    5.7337020661e-08
2.7074849600e+00    5.7403804542e-08
2.7104202800e+00    5.7470705139e-08
2.7133556000e+00    5.7537722721e-08
2.7162909200e+00    5.7604857562e-08
2.7192262400e+00    5.7672109937e-08
2.7221615600e+00    5.7739480118e-08
2.7250968800e+00    5.7806968382e-08
2.7280322000e+00    5.7874575004e-08
2.7309675200e+00    5.7942300262e-08
2.7339028400e+00    5.8010144432e-08
2.7368381600e+00    5.8078107794e-08
2.7397734800e+00    5.8146190627e-08
2.7427088000e+00    5.8214393210e-08
2.7456441200e+00    5.8282715825e-08
2.7485794400e+00    5.8351158754e-08
2.7515147600e+00    5.8419722278e-08
2.7544500800e+00    5.8488406682e-08
2.7573854000e+00    5.8557212250e-08
2.7603207200e+00    5.8626139266e-08
2.7632560400e+00    5.8695188017e-08
2.7661913600e+00    5.8764358790e-08
2.7691266800e+00    5.8833651871e-08
2.7720620000e+00    5.8903067550e-08
2.7749973200e+00    5.8972606115e-08
2.7779326400e+00    5.9042267858e-08
2.7808679600e+00    5.9112053068e-08
2.7838032800e+00    5.9181962037e-08
2.7867386000e+00    5.9251995060e-08
2.7896739200e+00    5.9322152428e-08
2.7926092400e+00    5.9392434437e-08
2.7955445600e+00    5.9462841381e-08
2.7984798800e+00    5.9533373558e-08
2.8014152000e+00    5.9604031264e-08
2.8043505200e+00    5.9674814797e-08
2.8072858400e+00    5.9745724455e-08
2.8102211600e+00    5.9816760540e-08
2.8131564800e+00    5.9887923350e-08
2.8160918000e+00    5.9959213189e-08
2.8190271200e+00    6.0030630357e-08
2.8219624400e+00    6.0102175159e-08
2.8248977600e+00    6.0173847899e-08
2.8278330800e+00    6.0245648882e-08
2.8307684000e+00    6.0317578414e-08
2.8337037200e+00    6.0389636801e-08
2.8366390400e+00    6.0461824353e-08
2.8395743600e+00    6.0534141376e-08
2.8425096800e+00    6.0606588182e-08
2.8454450000e+00    6.0679165081e-08
2.8483803200e+00    6.0751872385e-08
2.8513156400e+00    6.0824710405e-08
2.8542509600e+00    6.0897679456e-08
2.8571862800e+00    6.0970779851e-08
2.8601216000e+00    6.1044011907e-08
2.8630569200e+00    6.1117375939e-08
2.8659922400e+00    6.1190872264e-08
2.8689275600e+00    6.1264501201e-08
2.8718628800e+00    6.1338263069e-08
2.8747982000e+00    6.1412158188e-08
2.8777335200e+00    6.1486186879e-08
2.8806688400e+00    6.1560349464e-08
2.8836041600e+00    6.1634646265e-08
2.8865394800e+00    6.1709077608e-08
2.8894748000e+00    6.1783643817e-08
2.8924101200e+00    6.1858345217e-08
2.8953454400e+00    6.1933182136e-08
2.8982807600e+00    6.2008154902e-08
2.9012160800e+00    6.2083263843e-08
2.9041514000e+00    6.2158509290e-08
2.9070867200e+00    6.2233891572e-08
2.9100220400e+00    6.2309411023e-08
2.9129573600e+00    6.2385067975e-08
2.9158926800e+00    6.2460862762e-08
2.9188280000e+00    6.2536795719e-08
2.9217633200e+00    6.2612867181e-08
2.9246986400e+00    6.2689077486e-08
2.9276339600e+00    6.2765426972e-08
2.9305692800e+00    6.2841915978e-08
2.9335046000e+00    6.2918544843e-08
2.9364399200e+00    6.2995313909e-08
2.9393752400e+00    6.3072223518e-08
2.9423105600e+00    6.3149274013e-08
2.9452458800e+00    6.3226465738e-08
2.9481812000e+00    6.3303799039e-08
2.9511165200e+00    6.3381274261e-08
2.9540518400e+00    6.3458891753e-08
2.9569871600e+00    6.3536651863e-08
2.9599224800e+00    6.3614554939e-08
2.9628578000e+00    6.3692601334e-08
2.9657931200e+00    6.3770791397e-08
2.9687284400e+00    6.3849125483e-08
2.9716637600e+00    6.3927603945e-08
2.9745990800e+00    6.4006227138e-08
2.9775344000e+00    6.4084995417e-08
2.9804697200e+00    6.4163909140e-08
2.9834050400e+00    6.4242968666e-08
2.9863403600e+00    6.4322174352e-08
2.9892756800e+00    6.4401526561e-08
2.9922110000e+00    6.4481025652e-08
2.9951463200e+00    6.4560671990e-08
2.9980816400e+00    6.4640465937e-08
3.0010169600e+00    6.4720407858e-08
3.0039522800e+00    6.4800498120e-08
3.0068876000e+00    6.4880737089e-08
3.0098229200e+00    6.4961125135e-08
3.0127582400e+00    6.5041662625e-08
3.0156935600e+00    6.5122349931e-08
3.0186288800e+00    6.5203187425e-08
3.0215642000e+00    6.5284175479e-08
3.0244995200e+00    6.5365314467e-08
3.0274348400e+00    6.5446604764e-08
3.0303701600e+00    6.5528046747e-08
3.0333054800e+00    6.5609640794e-08
3.0362408000e+00    6.5691387282e-08
3.0391761200e+00    6.5773286593e-08
3.0421114400e+00    6.5855339106e-08
3.0450467600e+00    6.5937545204e-08
3.0479820800e+00    6.6019905270e-08
3.0509174000e+00    6.6102419690e-08
3.0538527200e+00    6.6185088848e-08
3.0567880400e+00    6.6267913132e-08
3.0597233600e+00    6.6350892931e-08
3.0626586800e+00    6.6434028632e-08
3.0655940000e+00    6.6517320628e-08
3.0685293200e+00    6.6600769311e-08
3.0714646400e+00    6.6684375072e-08
3.0743999600e+00    6.6768138307e-08
3.0773352800e+00    6.6852059411e-08
3.0802706000e+00    6.6936138781e-08
3.0832059200e+00    6.7020376815e-08
3.0861412400e+00    6.7104773913e-08
3.0890765600e+00    6.7189330474e-08
3.0920118800e+00    6.7274046901e-08
3.0949472000e+00    6.7358923598e-08
3.0978825200e+00    6.7443960967e-08
3.1008178400e+00    6.7529159415e-08
3.1037531600e+00    6.7614519350e-08
3.1066884800e+00    6.7700041178e-08
3.1096238000e+00    6.7785725310e-08
3.1125591200e+00    6.7871572157e-08
3.1154944400e+00    6.7957582130e-08
3.1184297600e+00    6.8043755643e-08
3.1213650800e+00    6.8130093110e-08
3.1243004000e+00    6.8216594949e-08
3.1272357200e+00    6.8303261575e-08
3.1301710400e+00    6.8390093409e-08
3.1331063600e+00    6.8477090869e-08
3.1360416800e+00    6.8564254377e-08
3.1389770000e+00    6.8651584356e-08
3.1419123200e+00    6.8739081230e-08
3.1448476400e+00    6.8826745425e-08
3.1477829600e+00    6.8914577366e-08
3.1507182800e+00    6.9002577482e-08
3.1536536000e+00    6.9090746203e-08
3.1565889200e+00    6.9179083959e-08
3.1595242400e+00    6.9267591183e-08
3.1624595600e+00    6.9356268309e-08
3.1653948800e+00    6.9445115770e-08
3.1683302000e+00    6.9534134004e-08
3.1712655200e+00    6.9623323448e-08
3.1742008400e+00    6.9712684542e-08
3.1771361600e+00    6.9802217726e-08
3.1800714800e+00    6.9891923443e-08
3.1830068000e+00    6.9981802135e-08
3.1859421200e+00    7.0071854247e-08
3.1888774400e+00    7.0162080226e-08
3.1918127600e+00    7.0252480519e-08
3.1947480800e+00    7.0343055576e-08
3.1976834000e+00    7.0433808182e-08
3.2006187200e+00    7.0524734122e-08
3.2035540400e+00    7.0615836181e-08
3.2064893600e+00    7.0707114815e-08
3.2094246800e+00    7.0798570480e-08
3.2123600000e+00    7.0890203634e-08
3.2152953200e+00    7.0982014737e-08
3.2182306400e+00    7.1074009307e-08
3.2211659600e+00    7.1166177696e-08
3.2241012800e+00    7.1258525420e-08
3.2270366000e+00    7.1351052946e-08
3.2299719200e+00    7.1443760739e-08
3.2329072400e+00    7.1536649269e-08
3.2358425600e+00    7.1629719004e-08
3.2387778800e+00    7.1722970418e-08
3.2417132000e+00    7.1816403982e-08
3.2446485200e+00    7.1910020172e-08
3.2475838400e+00    7.2003819463e-08
3.2505191600e+00    7.2097802332e-08
3.2534544800e+00    7.2191969260e-08
3.2563898000e+00    7.2286320727e-08
3.2593251200e+00    7.2380857215e-08
3.2622604400e+00    7.2475579208e-08
3.2651957600e+00    7.2570487192e-08
3.2681310800e+00    7.2665581653e-08
3.2710664000e+00    7.2760863081e-08
3.2740017200e+00    7.2856331965e-08
3.2769370400e+00    7.2951988798e-08
3.2798723600e+00    7.3047834073e-08
3.2828076800e+00    7.3143868285e-08
3.2857430000e+00    7.3240091930e-08
3.2886783200e+00    7.3336505508e-08
3.2916136400e+00    7.3433109518e-08
3.2945489600e+00    7.3529904462e-08
3.2974842800e+00    7.3626890842e-08
3.3004196000e+00    7.3724069165e-08
3.3033549200e+00    7.3821439937e-08
3.3062902400e+00    7.3919003666e-08
3.3092255600e+00    7.4016760861e-08
3.3121608800e+00    7.4114712036e-08
3.3150962000e+00    7.4212857702e-08
3.3180315200e+00    7.4311198376e-08
3.3209668400e+00    7.4409734573e-08
3.3239021600e+00    7.4508466812e-08
3.3268374800e+00    7.4607395615e-08
3.3297728000e+00    7.4706521501e-08
3.3327081200e+00    7.4805844996e-08
3.3356434400e+00    7.4905366624e-08
3.3385787600e+00    2.0221062642e-06
3.3415140800e+00    2.0241119500e-06
3.3444494000e+00    2.0261206343e-06
3.3473847200e+00    2.0281323231e-06
3.3503200400e+00    2.0301470224e-06
3.3532553600e+00    2.0321647382e-06
3.3561906800e+00    2.0341854766e-06
3.3591260000e+00    2.0362092438e-06
3.3620613200e+00    2.0382360457e-06
3.3649966400e+00    2.0402658885e-06
3.3679319600e+00    2.0422987783e-06
3.3708672800e+00    2.0443347213e-06
3.3738026000e+00    2.0463737236e-06
3.3767379200e+00    2.0484157913e-06
3.3796732400e+00    2.0504609307e-06
3.3826085600e+00    2.0525091479e-06
3.3855438800e+00    2.0545604492e-06
3.3884792000e+00    2.0566148409e-06
3.3914145200e+00    2.0586723290e-06
3.3943498400e+00    2.0607329527e-06
3.3972851600e+00    2.0627966528e-06
3.4002204800e+00    2.0648634682e-06
3.4031558000e+00    2.0669334054e-06
3.4060911200e+00    2.0690064705e-06
3.4090264400e+00    2.0710826701e-06
3.4119617600e+00    2.0731620104e-06
3.4148970800e+00    2.0752444977e-06
3.4178324000e+00    2.0773301386e-06
3.4207677200e+00    2.0794189393e-06
3.4237030400e+00    2.0815109064e-06
3.4266383600e+00    2.0836060463e-06
3.4295736800e+00    2.0857043653e-06
3.4325090000e+00    2.0878058701e-06
3.4354443200e+00    2.0899105854e-06
3.4383796400e+00    2.0920184810e-06
3.4413149600e+00    2.0941295819e-06
3.4442502800e+00    2.0962438946e-06
3.4471856000e+00    2.0983614256e-06
3.4501209200e+00    2.1004821815e-06
3.4530562400e+00    2.1026061688e-06
3.4559915600e+00    2.1047333943e-06
3.4589268800e+00    2.1068638645e-06
3.4618622000e+00    2.2913508842e-06
3.4647975200e+00    2.2936663454e-06
3.4677328400e+00    2.2959855522e-06
3.4706681600e+00    2.2983080745e-06
3.4736034800e+00    2.3006341381e-06
3.4765388000e+00    2.3029637501e-06
3.4794741200e+00    2.3052969179e-06
3.4824094400e+00    2.3076337040e-06
3.4853447600e+00    2.3099740052e-06
3.4882800800e+00    2.3123178841e-06
3.4912154000e+00    2.3146653480e-06
3.4941507200e+00    2.3170164042e-06
3.4970860400e+00    2.3193710602e-06
3.5000213600e+00    2.3217293234e-06
3.5029566800e+00    2.3240912011e-06
3.5058920000e+00    2.3264567007e-06
3.5088273200e+00    2.3288258298e-06
3.5117626400e+00    2.3311985959e-06
3.5146979600e+00    2.3335750063e-06
3.5176332800e+00    2.3359550686e-06
3.5205686000e+00    2.3383387904e-06
3.5235039200e+00    2.3407261792e-06
3.5264392400e+00    2.3431172426e-06
3.5293745600e+00    2.3455119881e-06
3.5323098800e+00    2.3479104234e-06
3.5352452000e+00    2.3503125561e-06
3.5381805200e+00    2.3527183939e-06
3.5411158400e+00    2.3551279443e-06
3.5440511600e+00    2.3575412152e-06
3.5469864800e+00    2.3599582142e-06
3.5499218000e+00    2.3623789491e-06
3.5528571200e+00    2.3648034276e-06
3.5557924400e+00    2.3672316574e-06
3.5587277600e+00    2.3696636464e-06
3.5616630800e+00    2.3720994024e-06
3.5645984000e+00    2.3745389332e-06
3.5675337200e+00    2.3769822467e-06
