# ================================
#  NWChem spectrum parser ver 2.2
# ================================
# 
# Parser runtime options: {'infile': None, 'outfile': None, 'datafmt': 'auto', 'width': 0.3, 'nbin': 20, 'npoints': 5000, 'units': 'ev', 'delim': '    ', 'makespec': True, 'header': True, 'cchar': '#', 'verbose': False}
#
# The input appears to contain TDDFT data.
# Successfully parsed 40 TDDFT singlet excitations
# Roots were Lorentzian broadened with width 0.3 eV 
# Spectrum generated with 5000 points.
#
#  Energy [eV]         Abs. [au]   
#----------------------------------
1.7447000000e+00    1.1671972206e-05
1.7476353200e+00    1.1683393771e-05
1.7505706400e+00    1.1694832106e-05
1.7535059600e+00    1.1706287243e-05
1.7564412800e+00    1.1717759215e-05
1.7593766000e+00    1.1729248055e-05
1.7623119200e+00    1.1740753797e-05
1.7652472400e+00    1.1752276473e-05
1.7681825600e+00    1.1763816117e-05
1.7711178800e+00    1.1775372762e-05
1.7740532000e+00    1.1786946442e-05
1.7769885200e+00    1.1798537189e-05
1.7799238400e+00    1.1810145038e-05
1.7828591600e+00    1.1821770022e-05
1.7857944800e+00    1.1833412175e-05
1.7887298000e+00    1.1845071531e-05
1.7916651200e+00    1.1856748124e-05
1.7946004400e+00    1.1868441987e-05
1.7975357600e+00    1.1880153154e-05
1.8004710800e+00    1.1891881661e-05
1.8034064000e+00    1.1903627541e-05
1.8063417200e+00    1.1915390828e-05
1.8092770400e+00    1.1927171557e-05
1.8122123600e+00    1.1938969762e-05
1.8151476800e+00    1.1950785478e-05
1.8180830000e+00    1.1962618739e-05
1.8210183200e+00    1.1974469581e-05
1.8239536400e+00    1.1986338038e-05
1.8268889600e+00    1.1998224145e-05
1.8298242800e+00    1.2010127937e-05
1.8327596000e+00    1.2022049449e-05
1.8356949200e+00    1.2033988717e-05
1.8386302400e+00    1.2045945775e-05
1.8415655600e+00    1.2057920659e-05
1.8445008800e+00    1.2069913404e-05
1.8474362000e+00    1.2081924047e-05
1.8503715200e+00    1.2093952622e-05
1.8533068400e+00    1.2105999165e-05
1.8562421600e+00    1.2118063712e-05
1.8591774800e+00    1.2130146299e-05
1.8621128000e+00    1.2142246962e-05
1.8650481200e+00    1.2154365737e-05
1.8679834400e+00    1.2166502661e-05
1.8709187600e+00    1.2178657768e-05
1.8738540800e+00    1.2190831096e-05
1.8767894000e+00    1.2203022682e-05
1.8797247200e+00    1.2215232561e-05
1.8826600400e+00    1.2227460770e-05
1.8855953600e+00    1.2239707347e-05
1.8885306800e+00    1.2251972327e-05
1.8914660000e+00    1.2264255748e-05
1.8944013200e+00    1.2276557646e-05
1.8973366400e+00    1.2288878059e-05
1.9002719600e+00    1.2301217024e-05
1.9032072800e+00    1.2313574578e-05
1.9061426000e+00    1.2325950759e-05
1.9090779200e+00    1.2338345603e-05
1.9120132400e+00    1.2350759149e-05
1.9149485600e+00    1.2363191435e-05
1.9178838800e+00    1.2375642496e-05
1.9208192000e+00    1.2388112373e-05
1.9237545200e+00    1.2400601102e-05
1.9266898400e+00    1.2413108722e-05
1.9296251600e+00    1.2425635270e-05
1.9325604800e+00    1.2438180786e-05
1.9354958000e+00    1.2450745306e-05
1.9384311200e+00    1.2463328870e-05
1.9413664400e+00    1.2475931516e-05
1.9443017600e+00    1.2488553283e-05
1.9472370800e+00    1.2501194210e-05
1.9501724000e+00    1.2513854334e-05
1.9531077200e+00    1.2526533695e-05
1.9560430400e+00    1.2539232333e-05
1.9589783600e+00    1.2551950286e-05
1.9619136800e+00    1.2564687592e-05
1.9648490000e+00    1.2577444293e-05
1.9677843200e+00    1.2590220426e-05
1.9707196400e+00    1.2603016032e-05
1.9736549600e+00    1.2615831150e-05
1.9765902800e+00    1.2628665820e-05
1.9795256000e+00    1.2641520081e-05
1.9824609200e+00    1.2654393974e-05
1.9853962400e+00    1.2667287538e-05
1.9883315600e+00    1.2680200813e-05
1.9912668800e+00    1.2693133840e-05
1.9942022000e+00    1.2706086659e-05
1.9971375200e+00    1.2719059310e-05
2.0000728400e+00    1.2732051835e-05
2.0030081600e+00    1.2745064272e-05
2.0059434800e+00    1.2758096664e-05
2.0088788000e+00    1.2771149051e-05
2.0118141200e+00    1.2784221473e-05
2.0147494400e+00    1.2797313973e-05
2.0176847600e+00    1.2810426590e-05
2.0206200800e+00    1.2823559367e-05
2.0235554000e+00    1.2836712344e-05
2.0264907200e+00    1.2849885564e-05
2.0294260400e+00    1.2863079067e-05
2.0323613600e+00    1.2876292895e-05
2.0352966800e+00    1.2889527090e-05
2.0382320000e+00    1.2902781694e-05
2.0411673200e+00    1.2916056749e-05
2.0441026400e+00    1.2929352296e-05
2.0470379600e+00    1.2942668379e-05
2.0499732800e+00    1.2956005040e-05
2.0529086000e+00    1.2969362320e-05
2.0558439200e+00    1.2982740262e-05
2.0587792400e+00    1.2996138909e-05
2.0617145600e+00    1.3009558304e-05
2.0646498800e+00    1.3022998490e-05
2.0675852000e+00    1.3036459509e-05
2.0705205200e+00    1.3049941405e-05
2.0734558400e+00    1.3063444220e-05
2.0763911600e+00    1.3076967999e-05
2.0793264800e+00    1.3090512784e-05
2.0822618000e+00    1.3104078619e-05
2.0851971200e+00    1.3117665548e-05
2.0881324400e+00    1.3131273613e-05
2.0910677600e+00    1.3144902861e-05
2.0940030800e+00    1.3158553333e-05
2.0969384000e+00    1.3172225075e-05
2.0998737200e+00    1.3185918130e-05
2.1028090400e+00    1.3199632543e-05
2.1057443600e+00    1.3213368358e-05
2.1086796800e+00    1.3227125620e-05
2.1116150000e+00    1.3240904373e-05
2.1145503200e+00    1.3254704662e-05
2.1174856400e+00    1.3268526533e-05
2.1204209600e+00    1.3282370030e-05
2.1233562800e+00    1.3296235198e-05
2.1262916000e+00    1.3310122082e-05
2.1292269200e+00    1.3324030728e-05
2.1321622400e+00    1.3337961182e-05
2.1350975600e+00    1.3351913488e-05
2.1380328800e+00    1.3365887693e-05
2.1409682000e+00    1.3379883843e-05
2.1439035200e+00    1.3393901983e-05
2.1468388400e+00    1.3407942160e-05
2.1497741600e+00    1.3422004419e-05
2.1527094800e+00    1.3436088807e-05
2.1556448000e+00    1.3450195371e-05
2.1585801200e+00    1.3464324157e-05
2.1615154400e+00    1.3478475212e-05
2.1644507600e+00    1.3492648582e-05
2.1673860800e+00    1.3506844315e-05
2.1703214000e+00    1.3521062457e-05
2.1732567200e+00    1.3535303057e-05
2.1761920400e+00    1.3549566160e-05
2.1791273600e+00    1.3563851814e-05
2.1820626800e+00    1.3578160068e-05
2.1849980000e+00    1.3592490968e-05
2.1879333200e+00    1.3606844563e-05
2.1908686400e+00    1.3621220901e-05
2.1938039600e+00    1.3635620028e-05
2.1967392800e+00    1.3650041995e-05
2.1996746000e+00    1.3664486849e-05
2.2026099200e+00    1.3678954638e-05
2.2055452400e+00    1.3693445411e-05
2.2084805600e+00    1.3707959216e-05
2.2114158800e+00    1.3722496104e-05
2.2143512000e+00    1.3737056121e-05
2.2172865200e+00    1.3751639319e-05
2.2202218400e+00    1.3766245745e-05
2.2231571600e+00    1.3780875449e-05
2.2260924800e+00    1.3795528481e-05
2.2290278000e+00    1.3810204890e-05
2.2319631200e+00    1.3824904727e-05
2.2348984400e+00    1.3839628040e-05
2.2378337600e+00    1.3854374880e-05
2.2407690800e+00    1.3869145296e-05
2.2437044000e+00    1.3883939341e-05
2.2466397200e+00    1.3898757062e-05
2.2495750400e+00    1.3913598513e-05
2.2525103600e+00    1.3928463742e-05
2.2554456800e+00    1.3943352800e-05
2.2583810000e+00    1.3958265740e-05
2.2613163200e+00    1.3973202611e-05
2.2642516400e+00    1.3988163465e-05
2.2671869600e+00    1.4003148353e-05
2.2701222800e+00    1.4018157328e-05
2.2730576000e+00    1.4033190439e-05
2.2759929200e+00    1.4048247740e-05
2.2789282400e+00    1.4063329282e-05
2.2818635600e+00    1.4078435118e-05
2.2847988800e+00    1.4093565298e-05
2.2877342000e+00    1.4108719877e-05
2.2906695200e+00    1.4123898905e-05
