# ================================
#  NWChem spectrum parser ver 2.2
# ================================
# 
# Parser runtime options: {'infile': None, 'outfile': None, 'datafmt': 'auto', 'width': 0.3, 'nbin': 20, 'npoints': 5000, 'units': 'ev', 'delim': '    ', 'makespec': True, 'header': True, 'cchar': '#', 'verbose': False}
#
# The input appears to contain TDDFT data.
# Successfully parsed 40 TDDFT singlet excitations
# Roots were Lorentzian broadened with width 0.3 eV 
# Spectrum generated with 5000 points.
#
#  Energy [eV]         Abs. [au]   
#----------------------------------
1.7320000000e+00    3.6997499293e-08
1.7349370800e+00    3.7033724782e-08
1.7378741600e+00    3.7070003490e-08
1.7408112400e+00    3.7106335522e-08
1.7437483200e+00    3.7142720982e-08
1.7466854000e+00    3.7179159975e-08
1.7496224800e+00    3.7215652606e-08
1.7525595600e+00    3.7252198981e-08
1.7554966400e+00    3.7288799204e-08
1.7584337200e+00    3.7325453381e-08
1.7613708000e+00    3.7362161620e-08
1.7643078800e+00    3.7398924025e-08
1.7672449600e+00    3.7435740705e-08
1.7701820400e+00    3.7472611764e-08
1.7731191200e+00    3.7509537312e-08
1.7760562000e+00    3.7546517454e-08
1.7789932800e+00    3.7583552299e-08
1.7819303600e+00    3.7620641955e-08
1.7848674400e+00    3.7657786530e-08
1.7878045200e+00    3.7694986132e-08
1.7907416000e+00    3.7732240870e-08
1.7936786800e+00    3.7769550853e-08
1.7966157600e+00    3.7806916190e-08
1.7995528400e+00    3.7844336991e-08
1.8024899200e+00    3.7881813365e-08
1.8054270000e+00    3.7919345424e-08
1.8083640800e+00    3.7956933276e-08
1.8113011600e+00    3.7994577033e-08
1.8142382400e+00    3.8032276805e-08
1.8171753200e+00    3.8070032704e-08
1.8201124000e+00    3.8107844841e-08
1.8230494800e+00    3.8145713328e-08
1.8259865600e+00    3.8183638277e-08
1.8289236400e+00    3.8221619800e-08
1.8318607200e+00    3.8259658010e-08
1.8347978000e+00    3.8297753019e-08
1.8377348800e+00    3.8335904941e-08
1.8406719600e+00    3.8374113889e-08
1.8436090400e+00    3.8412379977e-08
1.8465461200e+00    3.8450703318e-08
1.8494832000e+00    3.8489084028e-08
1.8524202800e+00    3.8527522219e-08
1.8553573600e+00    3.8566018008e-08
1.8582944400e+00    3.8604571510e-08
1.8612315200e+00    3.8643182839e-08
1.8641686000e+00    3.8681852112e-08
1.8671056800e+00    3.8720579444e-08
1.8700427600e+00    3.8759364952e-08
1.8729798400e+00    3.8798208753e-08
1.8759169200e+00    3.8837110962e-08
1.8788540000e+00    3.8876071698e-08
1.8817910800e+00    3.8915091077e-08
1.8847281600e+00    3.8954169218e-08
1.8876652400e+00    3.8993306238e-08
1.8906023200e+00    3.9032502256e-08
1.8935394000e+00    3.9071757390e-08
1.8964764800e+00    3.9111071760e-08
1.8994135600e+00    3.9150445484e-08
1.9023506400e+00    3.9189878682e-08
1.9052877200e+00    3.9229371474e-08
1.9082248000e+00    3.9268923980e-08
1.9111618800e+00    3.9308536320e-08
1.9140989600e+00    3.9348208615e-08
1.9170360400e+00    3.9387940987e-08
1.9199731200e+00    3.9427733556e-08
1.9229102000e+00    3.9467586444e-08
1.9258472800e+00    3.9507499773e-08
1.9287843600e+00    3.9547473665e-08
1.9317214400e+00    3.9587508244e-08
1.9346585200e+00    3.9627603630e-08
1.9375956000e+00    3.9667759949e-08
1.9405326800e+00    3.9707977324e-08
1.9434697600e+00    3.9748255877e-08
1.9464068400e+00    3.9788595734e-08
1.9493439200e+00    3.9828997018e-08
1.9522810000e+00    3.9869459856e-08
1.9552180800e+00    3.9909984370e-08
1.9581551600e+00    3.9950570688e-08
1.9610922400e+00    3.9991218935e-08
1.9640293200e+00    4.0031929236e-08
1.9669664000e+00    4.0072701718e-08
1.9699034800e+00    4.0113536508e-08
1.9728405600e+00    4.0154433733e-08
1.9757776400e+00    4.0195393520e-08
1.9787147200e+00    4.0236415996e-08
1.9816518000e+00    4.0277501290e-08
1.9845888800e+00    4.0318649531e-08
1.9875259600e+00    4.0359860845e-08
1.9904630400e+00    4.0401135364e-08
1.9934001200e+00    4.0442473215e-08
1.9963372000e+00    4.0483874528e-08
1.9992742800e+00    4.0525339434e-08
2.0022113600e+00    4.0566868063e-08
2.0051484400e+00    4.0608460544e-08
2.0080855200e+00    4.0650117010e-08
2.0110226000e+00    4.0691837592e-08
2.0139596800e+00    4.0733622420e-08
2.0168967600e+00    4.0775471628e-08
2.0198338400e+00    4.0817385347e-08
2.0227709200e+00    4.0859363710e-08
2.0257080000e+00    4.0901406849e-08
2.0286450800e+00    4.0943514899e-08
2.0315821600e+00    4.0985687993e-08
2.0345192400e+00    4.1027926265e-08
2.0374563200e+00    4.1070229849e-08
2.0403934000e+00    4.1112598880e-08
2.0433304800e+00    4.1155033493e-08
2.0462675600e+00    4.1197533823e-08
