# ================================
#  NWChem spectrum parser ver 2.2
# ================================
# 
# Parser runtime options: {'infile': None, 'outfile': None, 'datafmt': 'auto', 'width': 0.3, 'nbin': 20, 'npoints': 5000, 'units': 'ev', 'delim': '    ', 'makespec': True, 'header': True, 'cchar': '#', 'verbose': False}
#
# The input appears to contain TDDFT data.
# Successfully parsed 40 TDDFT singlet excitations
# Roots were Lorentzian broadened with width 0.3 eV 
# Spectrum generated with 5000 points.
#
#  Energy [eV]         Abs. [au]   
#----------------------------------
1.7320000000e+00    1.1678970650e-05
1.7349370800e+00    1.1690405921e-05
1.7378741600e+00    1.1701857991e-05
1.7408112400e+00    1.1713326894e-05
1.7437483200e+00    1.1724812663e-05
1.7466854000e+00    1.1736315330e-05
1.7496224800e+00    1.1747834930e-05
1.7525595600e+00    1.1759371494e-05
1.7554966400e+00    1.1770925057e-05
1.7584337200e+00    1.1782495651e-05
1.7613708000e+00    1.1794083311e-05
1.7643078800e+00    1.1805688070e-05
1.7672449600e+00    1.1817309961e-05
1.7701820400e+00    1.1828949019e-05
1.7731191200e+00    1.1840605277e-05
1.7760562000e+00    1.1852278768e-05
1.7789932800e+00    1.1863969528e-05
1.7819303600e+00    1.1875677590e-05
1.7848674400e+00    1.1887402987e-05
1.7878045200e+00    1.1899145756e-05
1.7907416000e+00    1.1910905929e-05
1.7936786800e+00    1.1922683541e-05
1.7966157600e+00    1.1934478626e-05
1.7995528400e+00    1.1946291220e-05
1.8024899200e+00    1.1958121357e-05
1.8054270000e+00    1.1969969072e-05
1.8083640800e+00    1.1981834398e-05
1.8113011600e+00    1.1993717373e-05
1.8142382400e+00    1.2005618029e-05
1.8171753200e+00    1.2017536403e-05
1.8201124000e+00    1.2029472530e-05
1.8230494800e+00    1.2041426445e-05
1.8259865600e+00    1.2053398183e-05
1.8289236400e+00    1.2065387779e-05
1.8318607200e+00    1.2077395270e-05
1.8347978000e+00    1.2089420691e-05
1.8377348800e+00    1.2101464077e-05
1.8406719600e+00    1.2113525465e-05
1.8436090400e+00    1.2125604890e-05
1.8465461200e+00    1.2137702388e-05
1.8494832000e+00    1.2149817995e-05
1.8524202800e+00    1.2161951748e-05
1.8553573600e+00    1.2174103683e-05
1.8582944400e+00    1.2186273836e-05
1.8612315200e+00    1.2198462243e-05
1.8641686000e+00    1.2210668941e-05
1.8671056800e+00    1.2222893966e-05
1.8700427600e+00    1.2235137356e-05
1.8729798400e+00    1.2247399147e-05
1.8759169200e+00    1.2259679376e-05
1.8788540000e+00    1.2271978080e-05
1.8817910800e+00    1.2284295296e-05
1.8847281600e+00    1.2296631061e-05
1.8876652400e+00    1.2308985412e-05
1.8906023200e+00    1.2321358388e-05
1.8935394000e+00    1.2333750024e-05
1.8964764800e+00    1.2346160359e-05
1.8994135600e+00    1.2358589431e-05
1.9023506400e+00    1.2371037277e-05
1.9052877200e+00    1.2383503934e-05
1.9082248000e+00    1.2395989442e-05
1.9111618800e+00    1.2408493837e-05
1.9140989600e+00    1.2421017159e-05
1.9170360400e+00    1.2433559444e-05
1.9199731200e+00    1.2446120732e-05
1.9229102000e+00    1.2458701061e-05
1.9258472800e+00    1.2471300469e-05
1.9287843600e+00    1.2483918996e-05
1.9317214400e+00    1.2496556678e-05
1.9346585200e+00    1.2509213557e-05
1.9375956000e+00    1.2521889669e-05
1.9405326800e+00    1.2534585055e-05
1.9434697600e+00    1.2547299754e-05
1.9464068400e+00    1.2560033804e-05
1.9493439200e+00    1.2572787245e-05
1.9522810000e+00    1.2585560116e-05
1.9552180800e+00    1.2598352456e-05
1.9581551600e+00    1.2611164306e-05
1.9610922400e+00    1.2623995705e-05
1.9640293200e+00    1.2636846693e-05
1.9669664000e+00    1.2649717310e-05
1.9699034800e+00    1.2662607595e-05
1.9728405600e+00    1.2675517589e-05
1.9757776400e+00    1.2688447331e-05
1.9787147200e+00    1.2701396863e-05
1.9816518000e+00    1.2714366225e-05
1.9845888800e+00    1.2727355457e-05
1.9875259600e+00    1.2740364599e-05
1.9904630400e+00    1.2753393693e-05
1.9934001200e+00    1.2766442779e-05
1.9963372000e+00    1.2779511898e-05
1.9992742800e+00    1.2792601091e-05
2.0022113600e+00    1.2805710400e-05
2.0051484400e+00    1.2818839865e-05
2.0080855200e+00    1.2831989528e-05
2.0110226000e+00    1.2845159430e-05
2.0139596800e+00    1.2858349613e-05
2.0168967600e+00    1.2871560118e-05
2.0198338400e+00    1.2884790988e-05
2.0227709200e+00    1.2898042264e-05
2.0257080000e+00    1.2911313988e-05
2.0286450800e+00    1.2924606202e-05
2.0315821600e+00    1.2937918948e-05
2.0345192400e+00    1.2951252269e-05
2.0374563200e+00    1.2964606207e-05
2.0403934000e+00    1.2977980805e-05
2.0433304800e+00    1.2991376105e-05
2.0462675600e+00    1.3004792150e-05
2.0492046400e+00    1.3018228982e-05
2.0521417200e+00    1.3031686646e-05
2.0550788000e+00    1.3045165183e-05
2.0580158800e+00    1.3058664637e-05
2.0609529600e+00    1.3072185052e-05
2.0638900400e+00    1.3085726470e-05
2.0668271200e+00    1.3099288936e-05
2.0697642000e+00    1.3112872492e-05
2.0727012800e+00    1.3126477183e-05
2.0756383600e+00    1.3140103052e-05
2.0785754400e+00    1.3153750144e-05
2.0815125200e+00    1.3167418502e-05
2.0844496000e+00    1.3181108171e-05
2.0873866800e+00    1.3194819196e-05
2.0903237600e+00    1.3208551619e-05
2.0932608400e+00    1.3222305487e-05
2.0961979200e+00    1.3236080843e-05
2.0991350000e+00    1.3249877732e-05
2.1020720800e+00    1.3263696200e-05
2.1050091600e+00    1.3277536291e-05
2.1079462400e+00    1.3291398051e-05
2.1108833200e+00    1.3305281525e-05
2.1138204000e+00    1.3319186757e-05
2.1167574800e+00    1.3333113794e-05
2.1196945600e+00    1.3347062682e-05
2.1226316400e+00    1.3361033465e-05
2.1255687200e+00    1.3375026189e-05
2.1285058000e+00    1.3389040902e-05
2.1314428800e+00    1.3403077648e-05
2.1343799600e+00    1.3417136475e-05
2.1373170400e+00    1.3431217427e-05
2.1402541200e+00    1.3445320552e-05
2.1431912000e+00    1.3459445897e-05
2.1461282800e+00    1.3473593507e-05
2.1490653600e+00    1.3487763431e-05
2.1520024400e+00    1.3501955714e-05
2.1549395200e+00    1.3516170404e-05
2.1578766000e+00    1.3530407548e-05
2.1608136800e+00    1.3544667193e-05
2.1637507600e+00    1.3558949387e-05
2.1666878400e+00    1.3573254177e-05
2.1696249200e+00    1.3587581611e-05
2.1725620000e+00    1.3601931736e-05
2.1754990800e+00    1.3616304602e-05
2.1784361600e+00    1.3630700255e-05
2.1813732400e+00    1.3645118744e-05
2.1843103200e+00    1.3659560117e-05
2.1872474000e+00    1.3674024424e-05
2.1901844800e+00    1.3688511711e-05
2.1931215600e+00    1.3703022028e-05
2.1960586400e+00    1.3717555424e-05
2.1989957200e+00    1.3732111948e-05
2.2019328000e+00    1.3746691648e-05
2.2048698800e+00    1.3761294575e-05
2.2078069600e+00    1.3775920777e-05
2.2107440400e+00    1.3790570304e-05
2.2136811200e+00    1.3805243205e-05
2.2166182000e+00    1.3819939530e-05
2.2195552800e+00    1.3834659330e-05
2.2224923600e+00    1.3849402654e-05
2.2254294400e+00    1.3864169551e-05
2.2283665200e+00    1.3878960074e-05
2.2313036000e+00    1.3893774271e-05
2.2342406800e+00    1.3908612194e-05
2.2371777600e+00    1.3923473893e-05
2.2401148400e+00    1.3938359419e-05
2.2430519200e+00    1.3953268822e-05
2.2459890000e+00    1.3968202155e-05
2.2489260800e+00    1.3983159468e-05
2.2518631600e+00    1.3998140813e-05
2.2548002400e+00    1.4013146240e-05
2.2577373200e+00    1.4028175802e-05
2.2606744000e+00    1.4043229551e-05
2.2636114800e+00    1.4058307538e-05
2.2665485600e+00    1.4073409816e-05
2.2694856400e+00    1.4088536436e-05
2.2724227200e+00    1.4103687451e-05
2.2753598000e+00    1.4118862913e-05
2.2782968800e+00    1.4134062876e-05
2.2812339600e+00    1.4149287391e-05
2.2841710400e+00    1.4164536512e-05
2.2871081200e+00    1.4179810292e-05
2.2900452000e+00    1.4195108783e-05
2.2929822800e+00    1.4210432040e-05
2.2959193600e+00    1.4225780115e-05
2.2988564400e+00    1.4241153063e-05
2.3017935200e+00    1.4256550937e-05
2.3047306000e+00    1.4271973791e-05
2.3076676800e+00    1.4287421679e-05
2.3106047600e+00    1.4302894655e-05
2.3135418400e+00    1.4318392773e-05
2.3164789200e+00    1.4333916089e-05
2.3194160000e+00    1.4349464656e-05
2.3223530800e+00    1.4365038530e-05
2.3252901600e+00    1.4380637765e-05
2.3282272400e+00    1.4396262417e-05
2.3311643200e+00    1.4411912540e-05
2.3341014000e+00    1.4427588190e-05
2.3370384800e+00    1.4443289423e-05
2.3399755600e+00    1.4459016295e-05
2.3429126400e+00    1.4474768860e-05
2.3458497200e+00    1.4490547176e-05
2.3487868000e+00    1.4506351298e-05
2.3517238800e+00    1.4522181282e-05
2.3546609600e+00    1.4538037185e-05
2.3575980400e+00    1.4553919065e-05
2.3605351200e+00    1.4569826976e-05
2.3634722000e+00    1.4585760977e-05
2.3664092800e+00    1.4601721124e-05
2.3693463600e+00    1.4617707474e-05
2.3722834400e+00    1.4633720086e-05
2.3752205200e+00    1.4649759016e-05
2.3781576000e+00    1.4665824322e-05
2.3810946800e+00    1.4681916062e-05
2.3840317600e+00    1.4698034294e-05
2.3869688400e+00    1.4714179076e-05
2.3899059200e+00    1.4730350467e-05
2.3928430000e+00    1.4746548525e-05
2.3957800800e+00    1.4762773309e-05
2.3987171600e+00    1.4779024877e-05
2.4016542400e+00    1.4795303288e-05
2.4045913200e+00    1.4811608602e-05
2.4075284000e+00    1.4827940878e-05
2.4104654800e+00    1.4844300175e-05
2.4134025600e+00    1.4860686554e-05
2.4163396400e+00    1.4877100073e-05
2.4192767200e+00    1.4893540792e-05
2.4222138000e+00    1.4910008773e-05
2.4251508800e+00    1.4926504075e-05
2.4280879600e+00    1.4943026758e-05
2.4310250400e+00    1.4959576883e-05
2.4339621200e+00    1.4976154511e-05
2.4368992000e+00    1.4992759704e-05
2.4398362800e+00    1.5009392521e-05
2.4427733600e+00    1.5026053025e-05
2.4457104400e+00    1.5042741276e-05
2.4486475200e+00    1.5059457337e-05
2.4515846000e+00    1.5076201270e-05
2.4545216800e+00    1.5092973135e-05
2.4574587600e+00    1.5109772996e-05
2.4603958400e+00    1.5126600915e-05
2.4633329200e+00    1.5143456953e-05
2.4662700000e+00    1.5160341175e-05
2.4692070800e+00    1.5177253642e-05
2.4721441600e+00    1.5194194419e-05
2.4750812400e+00    1.5211163567e-05
2.4780183200e+00    1.5228161150e-05
2.4809554000e+00    1.5245187232e-05
2.4838924800e+00    1.5262241877e-05
2.4868295600e+00    1.5279325149e-05
2.4897666400e+00    1.5296437111e-05
2.4927037200e+00    1.5313577828e-05
2.4956408000e+00    1.5330747364e-05
2.4985778800e+00    1.5347945784e-05
2.5015149600e+00    1.5365173153e-05
2.5044520400e+00    1.5382429535e-05
2.5073891200e+00    1.5399714997e-05
2.5103262000e+00    1.5417029602e-05
2.5132632800e+00    1.5434373418e-05
2.5162003600e+00    1.5451746509e-05
2.5191374400e+00    1.5469148941e-05
2.5220745200e+00    1.5486580781e-05
2.5250116000e+00    1.5504042095e-05
2.5279486800e+00    1.5521532949e-05
2.5308857600e+00    1.5539053410e-05
2.5338228400e+00    1.5556603544e-05
2.5367599200e+00    1.5574183419e-05
2.5396970000e+00    1.5591793103e-05
2.5426340800e+00    1.5609432661e-05
2.5455711600e+00    1.5627102163e-05
2.5485082400e+00    1.5644801675e-05
2.5514453200e+00    1.5662531267e-05
2.5543824000e+00    1.5680291005e-05
2.5573194800e+00    1.5698080958e-05
2.5602565600e+00    1.5715901196e-05
2.5631936400e+00    1.5733751786e-05
2.5661307200e+00    1.5751632797e-05
2.5690678000e+00    1.5769544299e-05
2.5720048800e+00    1.5787486362e-05
2.5749419600e+00    1.5805459054e-05
2.5778790400e+00    1.5823462445e-05
2.5808161200e+00    1.5841496605e-05
2.5837532000e+00    1.5859561605e-05
2.5866902800e+00    1.5877657515e-05
2.5896273600e+00    1.5895784405e-05
2.5925644400e+00    1.5913942346e-05
2.5955015200e+00    1.5932131409e-05
2.5984386000e+00    1.5950351665e-05
2.6013756800e+00    1.5968603186e-05
2.6043127600e+00    1.5986886042e-05
2.6072498400e+00    1.6005200307e-05
2.6101869200e+00    1.6023546051e-05
2.6131240000e+00    1.6041923347e-05
2.6160610800e+00    1.6060332267e-05
2.6189981600e+00    1.6078772884e-05
2.6219352400e+00    1.6097245271e-05
2.6248723200e+00    1.6115749500e-05
2.6278094000e+00    1.6134285645e-05
2.6307464800e+00    1.6152853779e-05
2.6336835600e+00    1.6171453977e-05
2.6366206400e+00    1.6190086311e-05
2.6395577200e+00    1.6208750856e-05
2.6424948000e+00    1.6227447685e-05
2.6454318800e+00    1.6246176875e-05
2.6483689600e+00    1.6264938498e-05
2.6513060400e+00    1.6283732631e-05
2.6542431200e+00    1.6302559348e-05
2.6571802000e+00    1.6321418725e-05
2.6601172800e+00    1.6340310837e-05
2.6630543600e+00    1.6359235759e-05
2.6659914400e+00    1.6378193569e-05
2.6689285200e+00    1.6397184342e-05
2.6718656000e+00    1.6416208155e-05
2.6748026800e+00    1.6435265083e-05
2.6777397600e+00    1.6454355205e-05
2.6806768400e+00    1.6473478598e-05
2.6836139200e+00    1.6492635338e-05
2.6865510000e+00    1.6511825503e-05
2.6894880800e+00    1.6531049171e-05
2.6924251600e+00    1.6550306420e-05
2.6953622400e+00    1.6569597328e-05
2.6982993200e+00    1.6588921974e-05
2.7012364000e+00    1.6608280436e-05
2.7041734800e+00    1.6627672793e-05
2.7071105600e+00    1.6647099125e-05
2.7100476400e+00    1.6666559511e-05
2.7129847200e+00    1.6686054030e-05
2.7159218000e+00    1.6705582763e-05
2.7188588800e+00    1.6725145789e-05
2.7217959600e+00    1.6744743189e-05
2.7247330400e+00    1.6764375042e-05
2.7276701200e+00    1.6784041431e-05
2.7306072000e+00    1.6803742436e-05
2.7335442800e+00    1.6823478138e-05
2.7364813600e+00    1.6843248619e-05
2.7394184400e+00    1.6863053961e-05
2.7423555200e+00    1.6882894245e-05
2.7452926000e+00    1.6902769554e-05
2.7482296800e+00    1.6922679970e-05
2.7511667600e+00    1.6942625577e-05
2.7541038400e+00    1.6962606456e-05
2.7570409200e+00    1.6982622691e-05
2.7599780000e+00    1.7002674365e-05
2.7629150800e+00    1.7022761563e-05
2.7658521600e+00    1.7042884368e-05
2.7687892400e+00    1.7063042865e-05
2.7717263200e+00    1.7083237137e-05
2.7746634000e+00    1.7103467269e-05
2.7776004800e+00    1.7123733347e-05
2.7805375600e+00    1.7144035455e-05
2.7834746400e+00    1.7164373680e-05
2.7864117200e+00    1.7184748106e-05
2.7893488000e+00    1.7205158820e-05
2.7922858800e+00    1.7225605907e-05
2.7952229600e+00    1.7246089455e-05
2.7981600400e+00    1.7266609550e-05
2.8010971200e+00    1.7287166279e-05
2.8040342000e+00    1.7307759728e-05
2.8069712800e+00    1.7328389987e-05
2.8099083600e+00    1.7349057142e-05
2.8128454400e+00    1.7369761281e-05
2.8157825200e+00    1.7390502493e-05
2.8187196000e+00    1.7411280867e-05
2.8216566800e+00    1.7432096490e-05
2.8245937600e+00    1.7452949453e-05
2.8275308400e+00    1.7473839843e-05
2.8304679200e+00    1.7494767752e-05
2.8334050000e+00    1.7515733269e-05
2.8363420800e+00    1.7536736484e-05
2.8392791600e+00    1.7557777487e-05
2.8422162400e+00    1.7578856369e-05
2.8451533200e+00    1.7599973221e-05
2.8480904000e+00    1.7621128135e-05
2.8510274800e+00    1.7642321201e-05
2.8539645600e+00    1.7663552512e-05
2.8569016400e+00    1.7684822160e-05
2.8598387200e+00    2.9385510912e-05
2.8627758000e+00    2.9418293383e-05
2.8657128800e+00    2.9451131269e-05
2.8686499600e+00    2.9484024696e-05
2.8715870400e+00    2.9516973792e-05
2.8745241200e+00    2.9549978682e-05
2.8774612000e+00    2.9583039493e-05
2.8803982800e+00    2.9616156354e-05
2.8833353600e+00    2.9649329393e-05
2.8862724400e+00    2.9682558736e-05
2.8892095200e+00    2.9715844514e-05
2.8921466000e+00    2.9749186855e-05
2.8950836800e+00    2.9782585888e-05
2.8980207600e+00    2.9816041744e-05
2.9009578400e+00    2.9849554552e-05
2.9038949200e+00    2.9883124443e-05
2.9068320000e+00    2.9916751547e-05
2.9097690800e+00    2.9950435997e-05
2.9127061600e+00    2.9984177923e-05
2.9156432400e+00    3.0017977458e-05
2.9185803200e+00    3.0051834735e-05
2.9215174000e+00    3.0085749885e-05
2.9244544800e+00    3.0119723042e-05
2.9273915600e+00    3.0153754339e-05
2.9303286400e+00    3.0187843912e-05
2.9332657200e+00    3.0221991893e-05
2.9362028000e+00    3.0256198417e-05
2.9391398800e+00    3.0290463621e-05
2.9420769600e+00    3.0324787638e-05
2.9450140400e+00    3.0359170606e-05
2.9479511200e+00    3.0393612661e-05
2.9508882000e+00    3.0428113938e-05
2.9538252800e+00    3.0462674576e-05
2.9567623600e+00    3.0497294711e-05
2.9596994400e+00    3.0531974482e-05
2.9626365200e+00    3.0566714027e-05
2.9655736000e+00    3.0601513485e-05
2.9685106800e+00    3.0636372994e-05
2.9714477600e+00    3.0671292695e-05
2.9743848400e+00    3.0706272727e-05
2.9773219200e+00    3.0741313230e-05
2.9802590000e+00    3.0776414346e-05
2.9831960800e+00    3.0811576215e-05
2.9861331600e+00    3.0846798980e-05
2.9890702400e+00    3.0882082781e-05
2.9920073200e+00    3.0917427762e-05
2.9949444000e+00    3.0952834065e-05
2.9978814800e+00    3.0988301834e-05
3.0008185600e+00    3.1023831211e-05
3.0037556400e+00    3.1059422343e-05
