  Freq. (cm^{-1})           IR Inten.        QC-IR Inten.
           2.0529        8.949272E-02        8.956285E-02
           4.1057        1.006250E-01        1.007827E-01
           6.1586        9.213107E-02        9.234779E-02
           8.2115        8.833728E-02        8.861441E-02
          10.2643        1.066365E-01        1.070548E-01
          12.3172        1.217097E-01        1.222828E-01
          14.3701        1.256153E-01        1.263055E-01
          16.4229        1.362841E-01        1.371401E-01
          18.4758        1.530493E-01        1.541311E-01
          20.5287        2.139631E-01        2.156438E-01
          22.5815        3.225236E-01        3.253111E-01
          24.6344        3.571935E-01        3.605622E-01
          26.6872        3.022754E-01        3.053646E-01
          28.7401        2.618992E-01        2.647824E-01
          30.7930        2.295022E-01        2.322099E-01
          32.8458        2.055422E-01        2.081295E-01
          34.8987        2.484763E-01        2.518004E-01
          36.9516        2.989677E-01        3.032037E-01
          39.0044        2.826195E-01        2.868474E-01
          41.0573        2.508802E-01        2.548319E-01
          43.1102        2.678749E-01        2.723063E-01
          45.1630        3.027041E-01        3.079516E-01
          47.2159        2.853022E-01        2.904742E-01
          49.2688        2.173558E-01        2.214684E-01
          51.3216        1.609140E-01        1.640864E-01
          53.3745        1.405010E-01        1.433825E-01
          55.4274        1.290275E-01        1.317761E-01
          57.4802        1.182588E-01        1.208720E-01
          59.5331        1.414901E-01        1.447292E-01
          61.5860        1.851184E-01        1.895035E-01
          63.6388        1.783931E-01        1.827609E-01
          65.6917        1.258641E-01        1.290460E-01
          67.7445        9.287413E-02        9.529605E-02
          69.7974        8.439227E-02        8.666027E-02
          71.8503        7.818196E-02        8.034542E-02
          73.9031        7.896060E-02        8.120861E-02
          75.9560        9.115428E-02        9.382223E-02
          78.0089        1.130504E-01        1.164495E-01
          80.0617        1.392060E-01        1.435029E-01
          82.1146        1.609952E-01        1.660933E-01
          84.1675        1.756285E-01        1.813305E-01
          86.2203        1.777461E-01        1.836592E-01
          88.2732        1.629018E-01        1.684514E-01
          90.3261        1.516456E-01        1.569333E-01
          92.3789        1.616169E-01        1.673818E-01
          94.4318        1.570729E-01        1.628018E-01
          96.4847        1.154439E-01        1.197470E-01
          98.5375        7.937210E-02        8.239442E-02
         100.5904        6.791901E-02        7.055979E-02
         102.6433        7.330455E-02        7.621365E-02
         104.6961        9.849400E-02        1.024819E-01
         106.7490        1.178297E-01        1.226954E-01
         108.8018        1.221093E-01        1.272499E-01
         110.8547        1.253612E-01        1.307397E-01
         112.9076        1.127413E-01        1.176692E-01
         114.9604        8.921608E-02        9.318761E-02
         117.0133        7.526487E-02        7.867606E-02
         119.0662        7.634238E-02        7.986401E-02
         121.1190        9.440453E-02        9.883558E-02
         123.1719        1.033285E-01        1.082619E-01
         125.2248        8.953404E-02        9.388118E-02
         127.2776        7.240699E-02        7.598111E-02
         129.3305        5.543280E-02        5.821389E-02
         131.3834        4.597736E-02        4.832129E-02
         133.4362        4.696131E-02        4.939343E-02
         135.4891        4.213210E-02        4.434826E-02
         137.5420        3.575703E-02        3.766684E-02
         139.5948        3.270211E-02        3.447528E-02
         141.6477        2.733339E-02        2.883764E-02
         143.7006        2.438552E-02        2.574734E-02
         145.7534        2.415312E-02        2.552158E-02
         147.8063        2.481676E-02        2.624299E-02
         149.8591        3.116042E-02        3.297656E-02
         151.9120        4.735022E-02        5.014847E-02
         153.9649        6.761425E-02        7.166508E-02
         156.0177        7.505361E-02        7.961127E-02
         158.0706        7.122847E-02        7.561188E-02
