  Freq. (cm^{-1})           IR Inten.        QC-IR Inten.
           2.0529        9.141940E-06        9.149104E-06
           4.1057        9.295176E-06        9.309748E-06
           6.1586        8.764784E-06        8.785401E-06
           8.2115        9.091609E-06        9.120131E-06
          10.2643        9.532032E-06        9.569421E-06
          12.3172        8.987227E-06        9.029541E-06
          14.3701        8.958078E-06        9.007297E-06
          16.4229        9.553161E-06        9.613163E-06
          18.4758        9.201832E-06        9.266869E-06
          20.5287        8.863331E-06        8.932954E-06
          22.5815        9.460877E-06        9.542646E-06
          24.6344        9.407290E-06        9.496011E-06
          26.6872        8.858793E-06        8.949328E-06
          28.7401        9.298010E-06        9.400369E-06
          30.7930        9.559177E-06        9.671957E-06
          32.8458        8.953592E-06        9.066299E-06
          34.8987        9.117567E-06        9.239543E-06
          36.9516        9.624330E-06        9.760695E-06
          39.0044        9.127911E-06        9.264462E-06
          41.0573        8.974495E-06        9.115854E-06
          43.1102        9.592188E-06        9.750873E-06
          45.1630        9.340446E-06        9.502366E-06
          47.2159        8.910521E-06        9.072051E-06
          49.2688        9.473104E-06        9.652346E-06
          51.3216        9.536845E-06        9.724861E-06
          53.3745        8.947818E-06        9.131325E-06
          55.4274        9.304191E-06        9.502397E-06
          57.4802        9.668953E-06        9.882613E-06
          59.5331        9.082401E-06        9.290322E-06
          61.5860        9.138394E-06        9.354867E-06
          63.6388        9.708865E-06        9.946579E-06
          65.6917        9.285180E-06        9.519915E-06
          67.7445        9.026568E-06        9.261957E-06
          69.7974        9.651856E-06        9.911245E-06
          71.8503        9.508246E-06        9.771359E-06
          73.9031        9.004431E-06        9.260788E-06
          75.9560        9.516711E-06        9.795251E-06
          78.0089        9.696278E-06        9.987819E-06
          80.0617        9.087239E-06        9.367731E-06
          82.1146        9.352101E-06        9.648246E-06
          84.1675        9.810407E-06        1.012891E-05
          86.2203        9.261476E-06        9.569574E-06
          88.2732        9.208221E-06        9.521922E-06
          90.3261        9.826369E-06        1.016900E-05
          92.3789        9.489490E-06        9.827985E-06
          94.4318        9.133369E-06        9.466487E-06
          96.4847        9.748368E-06        1.011174E-05
          98.5375        9.719365E-06        1.008946E-05
         100.5904        9.157565E-06        9.513623E-06
         102.6433        9.605735E-06        9.986938E-06
         104.6961        9.898078E-06        1.029884E-05
         106.7490        9.285641E-06        9.669079E-06
         108.8018        9.449040E-06        9.846831E-06
